	Abditibacteriota	Acidobacteriota	Actinobacteriota	Aenigmarchaeota	Armatimonadota	Bacteroidota	Bdellovibrionota	Chloroflexi	Crenarchaeota	Cyanobacteria	Dadabacteria	Deferrisomatota	Deinococcota	Dependentiae	Desulfobacterota	Elusimicrobiota	Entotheonellaeota	FCPU426	Fibrobacterota	Firmicutes	Gemmatimonadota	Halanaerobiaeota	Hydrogenedentes	Latescibacterota	MBNT15	Methylomirabilota	Myxococcota	Nanoarchaeota	NB1-j	Nitrospirota	Patescibacteria	Planctomycetota	Proteobacteria	RCP2-54	SAR324 clade(Marine group B)	Spirochaetota	Sumerlaeota	Thermoplasmatota	TX1A-33	Verrucomicrobiota	WPS-2	WS2	WS4	Unclassified
avca-elkld_01_c21	0.1753634549025	13.3591395068812	26.445132249905	0	0.59882175153342	2.40902515697858	0.290925547303686	6.72603702835716	0.988338734312244	0.255367980411013	0	0	0.105056447637442	0.0137381508448963	0.226275425680645	0.0638419951027533	0.0921264233128339	0	0.00969751824345619	1.28976992637967	5.17766661548532	0	0	0.193950364869124	0.0323250608115207	0.384668223657096	3.62363931697146	0.0137381508448963	0.0048487591217281	0.500230316058282	0.0226275425680645	3.66000501038443	29.1297285503018	0.158392797976451	0	0	0.0533363503390091	0.193142238348836	0.00404063260144008	3.32059187186346	0	0.0169706569260483	0	0.461440243084454
avca-elkld_02_c21	0.787872062551749	7.83091907025975	32.8797876245188	0	0.367047656443394	3.95557869757834	0.352536470025864	4.32433355242379	1.01236865242294	0.272298145128936	0	0	0.0699951344845541	0.00853599201031148	0.0512159520618689	0.0742631304897099	0.0136575872164984	0.0221935792268098	0.00341439680412459	1.19503888144361	6.16213263224386	0	0	0.0341439680412459	0	0.0418263608505262	3.04905634608326	0	0.00426799600515574	0.59495864311871	0.0392655632474328	2.98332920760386	30.146562982817	0.0648735392783672	0.0162183848195918	0	0.0401191624484639	0.44643238213929	0	2.74005343530998	0.00512159520618689	0	0	0.410581215695984
avca-elkld_03_c21	0.280854430379747	11.3259493670886	22.0965189873418	0	0.333860759493671	3.18117088607595	0.740506329113924	5.94303797468354	0.931170886075949	2.46835443037975	0	0.0245253164556962	0.0625	0.00474683544303797	0.837816455696203	0.0134493670886076	0	0	0.0704113924050633	5.06329113924051	5.54193037974684	0	0	0.00237341772151899	0	0.00791139240506329	5.25474683544304	0.0308544303797468	0	0.246044303797468	0.0237341772151899	1.9129746835443	31.0379746835443	0.0261075949367089	0.0174050632911392	0.0316455696202532	0.00870253164556962	0.0735759493670886	0	1.9501582278481	0.00632911392405063	0.0237341772151899	0.0561708860759494	0.369462025316452
avca-elkld_04_c21	0.356032860082004	12.7894590926999	28.5745553237127	0	0.361139888812689	4.22497191134198	0.571257642303708	3.80181810222812	1.04037470999373	0.741978317015161	0	0	0.0372083521807013	0.00510702873068449	0.19844454496374	0.0649322224329885	0.0306421723841069	0	0.0474224096420702	2.77311660076168	5.23616360001751	0	0	0.0138619351261436	0	0.0328308989829717	3.08318620226752	0.0160506617250084	0	0.474953671953657	0.0481519851750252	2.08439729765223	31.5067193906585	0.0547181649716195	0.0262647191863774	0	0.040126654312521	0.178016430041002	0	1.34971473596661	0	0.0189689638568281	0	0.21741350882057
avca-elkld_05_c21	0.159715326050976	10.1390268123138	27.0175438596491	0	0.56769281694803	3.23733862959285	0.356669976828865	7.13505461767627	1.8669314796425	2.02085402184707	0	0.00910294604435617	0.254054948692486	0	0.276398543528633	0	0.0239986759351208	0	0.0388944058258855	2.31297583581595	4.86511089043363	0.0264812975835816	0	0.0099304865938431	0	0.0124131082423039	3.19844422376696	0.0306190003310162	0	0.47087057265806	0.0496524329692155	2.13588215822575	31.7221118834823	0.0496524329692155	0	0	0.0124131082423039	0.0182058920887123	0	1.65259847732539	0	0.0148957298907646	0	0.314465408805034
avca-elkld_06_c21	0.193124428531143	8.98028592669817	25.4659340471531	0	0.266614255317331	3.19168026798151	0.627227126291413	4.06415832785008	0.654572178118831	0.99723985883117	0	0	0.0341813147842732	0.00598173008724781	0.141852456354734	0.0324722490450595	0	0	0.0205087888705639	1.55354075694522	4.96227237380686	0	0	0	0	0.00939986156567512	7.72583167411535	0.0119634601744956	0	0.235851072011485	0.0281995846970254	2.07566034027499	36.5133349854302	0.0136725259137093	0	0	0.0153815916529229	0.132452594789059	0	1.78170103313024	0	0.0128179930441024	0	0.252087196534021
avca-elkld_07_c21	0.193658526710707	7.95821834155426	30.0636306587764	0	0.421730241094744	4.91703722697184	0.426453619795005	3.9446959831038	0.692987132166884	0.243591387256324	0	0	0.0951423423909743	0.00944675740052227	0.0533067024743757	0.074224522432675	0.00674768385751591	0.00269907354300636	0.0600543863318916	1.2726131755275	4.84078839938191	0	0.00202430515725477	0	0	0.00472337870026114	4.80704998009433	0.00472337870026114	0	0.272606427843643	0.0256411986585604	1.92174036262053	35.9476109825303	0	0	0	0.0290150405873184	0.0836712798331973	0	1.3144488154441	0	0.0107962941720255	0	0.298922394887953
avca-elkld_08_c21	0.67675374025914	4.64632294565159	33.2056391006421	0	0.293671042185344	7.72254638229649	0.501784379167084	1.76665099393388	0.459390921633767	0.326044227938059	0	0	0.162636718900545	0.106369038901778	0.0131034323284799	0.0616632109575526	0	0	0	0.302920523828977	4.38964983004077	0	0	0.0100202717806023	0	0.00616632109575526	1.80519050078235	0.0107910619175717	0	0.28596314081565	0.0439350378072562	1.30726007230011	39.3519196528361	0.00770790136969407	0.0362271364375621	0	0.0277484449308987	0.3376060799926	0	1.92851692269746	0	0	0	0.20580096657082
avca-elkld_09_c21	0.19839435678274	7.37259029076506	32.1597963435707	0	0.479986347055017	2.7263224512725	0.480697437939543	3.08684552972715	0.664869977031764	6.11609269780771	0	0	0.0533318163394463	0.044087634840609	0.0234659991893564	0.0639981796073356	0.0014221817690519	0	0	0.833398516664415	5.8664997973391	0	0	0.0277325444965121	0	0.014221817690519	2.90196189975041	0.014932908575045	0.00284436353810381	0.561761798775501	0.014221817690519	2.09416265492893	31.100270925627	0.0206216356512526	0.0163550903440969	0	0.0504874528013425	0.458653620519239	0	2.06785229220147	0.00995527238336332	0	0	0.472164347325233
avca-elkld_10_c21	0.322614299357179	6.76205991637709	31.763063070293	0	0.51602237434494	4.66506697055543	0.530467790734068	5.64254014621971	0.894813292993171	0.326626915020825	0	0	0.0890800677329524	0.00561766192910511	0.0264832633800669	0.0650043737510734	0.00642018506183441	0	0.00722270819456371	1.98062709157591	4.65543669296267	0	0	0.0208656014509618	0	0.0288908327782548	3.95162390555908	0.0104328007254809	0	0.420522121550154	0.0481513879637581	2.24385467911113	32.2469845193288	0	0.0104328007254809	0	0.0232731708491497	0.174950042934988	0	2.27274551188938	0	0	0	0.288105804649817
