	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_19583	Bacteria	Chloroflexi	Anaerolineae	SBR1031	NA	NA	NA
ASV_19585	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	NA
ASV_19586	Bacteria	Dependentiae	Babeliae	Babeliales	UBA12409	NA	NA
ASV_19587	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	NA
ASV_19588	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavisolibacter	NA
ASV_19590	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
ASV_19591	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	NA	NA
ASV_19592	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
ASV_19594	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	AKYH767	NA	NA
ASV_19596	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	NA	NA	NA
ASV_19597	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	NA
ASV_19599	Bacteria	Cyanobacteria	Cyanobacteriia	NA	NA	NA	NA
ASV_19600	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12 marine group	NA	NA
ASV_19601	Bacteria	Acidobacteriota	Blastocatellia	11-24	NA	NA	NA
ASV_19602	Bacteria	Armatimonadota	NA	NA	NA	NA	NA
ASV_19603	Bacteria	Acidobacteriota	Blastocatellia	11-24	NA	NA	NA
ASV_19604	Bacteria	Actinobacteriota	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	NA
ASV_19605	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19606	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Ellin6067	NA
ASV_19607	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	NA	NA
ASV_19608	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
ASV_19610	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA	NA
ASV_19611	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
ASV_19612	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS 17	NA	NA
ASV_19613	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	37-13	NA	NA
ASV_19614	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 13	NA	NA	NA
ASV_19615	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	NA	NA	NA
ASV_19616	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV_19617	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Singulisphaera	NA
ASV_19619	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV_19620	Bacteria	NA	NA	NA	NA	NA	NA
ASV_19621	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	NA	NA
ASV_19622	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	NA
