	Beijerinckiaceae	Oxalobacteraceae	Gemmatimonadaceae	Micrococcaceae	Geodermatophilaceae	Sphingomonadaceae	Chitinophagaceae	Kineosporiaceae	Solirubrobacteraceae	Micromonosporaceae	Comamonadaceae	X67.14	Acetobacteraceae	Pyrinomonadaceae	Pseudonocardiaceae	Nitrosomonadaceae	Chthoniobacteraceae	Nocardioidaceae	Rhodobacteraceae	Bryobacteraceae	Gemmataceae	Nitrososphaeraceae	Xanthobacteraceae	Others	Unclassified
avca-elkld_01_c21	2.91652861171945	1.40371576574028	4.66127376902128	0.903485449682002	1.28007240813622	3.31574311274173	2.12456462183719	1.20168413566828	2.66843376999103	1.43038394090979	1.83040656845236	3.23493046071293	0.760447055591023	1.92495737132605	1.27522364901449	4.24428048455266	2.20376102082542	1.27764802857535	0.296582432945702	1.02632068076578	2.15850593568929	0.988338734312244	1.66958939091504	28.5422205700525	26.6609020308219
avca-elkld_02_c21	7.81555428464119	3.81388123020717	5.84715452706336	3.0584459372946	5.3136550264189	4.13398093059385	3.56292306510401	3.13014827018122	2.8527285298461	1.56464733549009	2.44470811175321	2.45836569896971	1.91206221030977	1.30344597997456	1.33588274961375	2.52921443265529	1.89755102389224	1.8113375045881	1.52026017703647	1.48696980819626	1.38197710646943	1.01236865242294	0.714462531263071	18.9977038181492	18.1005710578655
avca-elkld_03_c21	6.41772151898734	3.22705696202532	4.71044303797468	2.48417721518987	2.42246835443038	3.43670886075949	2.44066455696203	1.54113924050633	2.18670886075949	2.31408227848101	3.24525316455696	2.09731012658228	2.5253164556962	2.58465189873418	1.18275316455696	1.67088607594937	1.00553797468354	1.05379746835443	2.11155063291139	1.72705696202532	0.806962025316456	0.931170886075949	0.997626582278481	32.2302215189873	14.6487341772152
avca-elkld_04_c21	7.91881283469278	3.49612595392001	4.64666656938993	5.60386966862679	4.00755840252141	4.23007894007267	3.5544919965564	1.88595275268849	1.62476471189062	2.03916361460902	2.91538382968789	2.40395138108648	1.86771336436461	4.18776355916128	1.18264193891994	2.01946507521924	0.679964396713992	1.41537653393256	1.72982358863613	1.15783637079947	0.817124596909518	1.04037470999373	1.04621131425737	23.4077013993259	15.1211824960238
avca-elkld_05_c21	7.07629923866269	4.30652101952996	4.08474015226746	3.02300562727574	1.72459450513075	4.38430983118173	2.71764316451506	1.92734193975505	2.03078450844091	3.01473022178087	3.00810989738497	2.77143330023171	2.63819927176432	3.16368752068851	2.35931810658722	0.932638199271764	1.15110890433631	1.06173452499172	1.67494207216154	1.6708043694141	1.06835484938762	1.8669314796425	1.02946044356173	25.3343263819927	15.978980470043
avca-elkld_06_c21	7.02596925390735	4.20771984994403	4.63584081761705	1.6637754971245	2.82508566692018	4.57516898387496	2.56188954308127	2.26365757158849	2.19871307349837	3.92401493723456	3.46427625338609	2.19273134341112	2.19102227767191	1.5509771583364	1.59797646616477	2.39952829785598	0.975022004221392	1.26983584423575	1.90560829922323	1.45356041120122	0.776770378472608	0.654572178118831	1.36127086128368	29.2079334831614	13.1170795484648
avca-elkld_07_c21	6.98857617122923	4.96022240365994	4.36912529774155	0.851557702818508	3.61743331601428	5.77601738203362	3.63700159920107	2.0168827050115	2.47100182862233	4.13498066788575	2.80433741118361	4.09854317505516	2.74563256162322	0.858305386676024	2.21458984203672	2.25237687163881	0.609990620719438	1.63698810383336	1.1221398255049	2.05197066107059	0.840761408646482	0.692987132166884	1.4217369887786	25.1621131046768	12.6647278321716
avca-elkld_08_c21	6.96717204806647	10.9321165126371	4.12603960319724	11.5271664983775	5.13654547276413	4.14608014675844	7.19532592860942	2.92977331062072	2.05492650516044	0.893345768747543	5.37934436590949	1.00665191888205	2.10502786406345	0.874846805460277	0.686003221902773	1.83525131612416	1.2571587133971	1.52231052051458	1.96243168872411	1.20397419394621	0.525678873413136	0.459390921633767	0.527220453687075	14.638846281323	10.1073710660798
avca-elkld_09_c21	6.88549303486479	5.18883018438587	5.53797580868811	4.49409439020401	5.46117799315931	4.13926003882556	2.4113091894275	2.97804862439468	2.00527629436318	1.2742748650705	3.00507007800667	2.18731556080183	1.38662722482561	1.1398786878951	1.56795540037972	3.09608971122599	1.44635885912578	1.20174359484886	1.00690469248875	1.73221739470522	0.87464178796692	0.664869977031764	1.01614887398758	16.5840616089142	22.7143761244125
avca-elkld_10_c21	6.93781248244481	3.6948165030857	4.35930565698556	2.23342187838564	4.67549977128091	3.83285048191514	3.08891153787508	2.47738891073535	2.01192549375236	5.51493896811576	3.25824391888096	2.26552280369482	2.17724525909459	1.13476770967923	1.83055526575554	1.94611859686855	1.62109672811319	1.33299092346337	1.08501127545001	1.68529857873153	0.91888898697505	0.894813292993171	0.81456097972024	26.8756971919716	13.3323168040319
avca-elkld_11_c21	6.17047440295127	13.140249822018	3.3738916574979	9.27124457963886	4.81781114490971	4.76020969516536	4.46249433693612	2.56099928807197	1.66332276228076	0.759821370785063	3.45867581386318	1.07824736263025	1.6089573490389	1.04523979030483	1.21092485923241	1.42903371950036	0.911267879101676	1.30476991780467	2.64125299333376	0.695747848035726	0.563717558734062	0.343667076564624	0.464694841757815	19.7210536534852	12.5422302763575
avca-elkld_12_c21	5.06240181877028	5.12002778676813	5.25185705602349	1.61036951665233	4.55008328136471	4.47114359917587	2.59474735354715	3.80805026878962	3.1220644305686	2.43134221141626	1.93954799137979	3.28073319176817	1.83297942042485	1.86929167423172	1.57405726284546	2.00112094348708	1.52906164399782	1.65457573867808	0.835181837557922	1.30013656565019	1.18014824872315	0.792554409175949	1.34355339085405	21.2742443498922	19.5707260082571
