	Beijerinckiaceae	Oxalobacteraceae	Gemmatimonadaceae	Micrococcaceae	Geodermatophilaceae	Sphingomonadaceae	Chitinophagaceae	Kineosporiaceae	Solirubrobacteraceae	Micromonosporaceae	Comamonadaceae	X67.14	Acetobacteraceae	Pyrinomonadaceae	Others	Unclassified
avca-elkld_01_c21	2.91652861171945	1.40371576574028	4.66127376902128	0.903485449682002	1.28007240813622	3.31574311274173	2.12456462183719	1.20168413566828	2.66843376999103	1.43038394090979	1.83040656845236	3.23493046071293	0.760447055591023	1.92495737132605	43.6824709276484	26.6609020308219
avca-elkld_02_c21	7.81555428464119	3.81388123020717	5.84715452706336	3.0584459372946	5.3136550264189	4.13398093059385	3.56292306510401	3.13014827018122	2.8527285298461	1.56464733549009	2.44470811175321	2.45836569896971	1.91206221030977	1.30344597997456	32.6877278042868	18.1005710578655
avca-elkld_03_c21	6.41772151898734	3.22705696202532	4.71044303797468	2.48417721518987	2.42246835443038	3.43670886075949	2.44066455696203	1.54113924050633	2.18670886075949	2.31408227848101	3.24525316455696	2.09731012658228	2.5253164556962	2.58465189873418	43.7175632911392	14.6487341772152
avca-elkld_04_c21	7.91881283469278	3.49612595392001	4.64666656938993	5.60386966862679	4.00755840252141	4.23007894007267	3.5544919965564	1.88595275268849	1.62476471189062	2.03916361460902	2.91538382968789	2.40395138108648	1.86771336436461	4.18776355916128	34.4965199247078	15.1211824960238
avca-elkld_05_c21	7.07629923866269	4.30652101952996	4.08474015226746	3.02300562727574	1.72459450513075	4.38430983118173	2.71764316451506	1.92734193975505	2.03078450844091	3.01473022178087	3.00810989738497	2.77143330023171	2.63819927176432	3.16368752068851	38.1496193313472	15.978980470043
avca-elkld_06_c21	7.02596925390735	4.20771984994403	4.63584081761705	1.6637754971245	2.82508566692018	4.57516898387496	2.56188954308127	2.26365757158849	2.19871307349837	3.92401493723456	3.46427625338609	2.19273134341112	2.19102227767191	1.5509771583364	41.6020782239389	13.1170795484648
avca-elkld_07_c21	6.98857617122923	4.96022240365994	4.36912529774155	0.851557702818508	3.61743331601428	5.77601738203362	3.63700159920107	2.0168827050115	2.47100182862233	4.13498066788575	2.80433741118361	4.09854317505516	2.74563256162322	0.858305386676024	38.0056545590726	12.6647278321716
avca-elkld_08_c21	6.96717204806647	10.9321165126371	4.12603960319724	11.5271664983775	5.13654547276413	4.14608014675844	7.19532592860942	2.92977331062072	2.05492650516044	0.893345768747543	5.37934436590949	1.00665191888205	2.10502786406345	0.874846805460277	24.6182661846659	10.1073710660798
avca-elkld_09_c21	6.88549303486479	5.18883018438587	5.53797580868811	4.49409439020401	5.46117799315931	4.13926003882556	2.4113091894275	2.97804862439468	2.00527629436318	1.2742748650705	3.00507007800667	2.18731556080183	1.38662722482561	1.1398786878951	29.1909919006748	22.7143761244125
avca-elkld_10_c21	6.93781248244481	3.6948165030857	4.35930565698556	2.23342187838564	4.67549977128091	3.83285048191514	3.08891153787508	2.47738891073535	2.01192549375236	5.51493896811576	3.25824391888096	2.26552280369482	2.17724525909459	1.13476770967923	39.0050318200422	13.3323168040319
