	Anthophyta	Ascomycota	Basidiobolomycota	Basidiomycota	Blastocladiomycota	Calcarisporiellomycota	Cercozoa	Choanoflagellata	Chytridiomycota	Cryptista_phy_Incertae_sedis	Eukaryota_phy_Incertae_sedis	Glomeromycota	Ichthyosporia_phy_Incertae_sedis	Metazoa_phy_Incertae_sedis	Monoblepharomycota	Mortierellomycota	Mucoromycota	Olpidiomycota	Rozellomycota	Unclassified
avca-elkld_01_c21	0	78.5530020490293	0	11.3153588749502	0.426021197871368	2.83915857128116	0.0250600704630217	0	0.101714403644029	0	0.0530683845099282	3.26370564736058	0.0339048012146764	0	0.0088447307516547	0	0.0928696728923744	0	0	3.28729159603166
avca-elkld_02_c21	0	83.9278948442191	0	9.47218093322841	3.07190113957623	0.224417825187258	0.0728629302556032	0	0.802949491416747	0	0	0.135525050275422	0	0	0	0.256477514499723	0.24044766984349	0	0	1.79534260149806
avca-elkld_03_c21	0	74.6902422669893	0	15.1336695723157	1.13407772368153	0.0714264890236436	0.0349844027870908	1.34835719075246	0.161802862890295	0	0.0422728200344013	0.494154689367657	0	0	0	2.07719891548351	0	0	0	4.81181306667445
avca-elkld_04_c21	0.0236537096901364	79.8601802938316	0	14.7323188520066	1.51515151515152	0.0538778942941996	0.0170832347762096	0.339036505558622	0.0249678046729218	0	0	1.02630818155536	0	0	0.0170832347762096	0.901469158190754	0.00788456989671213	0	0	1.4809850455991
avca-elkld_05_c21	0	90.2195413542006	0	5.4798391479187	1.06075426584067	0.14237582871427	0.392348657754592	0.0206499293555048	0.245625475491794	0	0	0.331485708075209	0.00217367677426367	0	0.0108683838713183	0.448864253885447	0.0336919900010868	0	0	1.61178132811651
avca-elkld_06_c21	0	87.4794327352503	0	6.94455326595106	1.31369322782	0.109692078664891	0.412651153072684	0.0287288777455666	0.539319386769046	0	0.00783514847606362	1.02379273420565	0	0	0	0.309488364804513	0.00652929039671968	0	0	1.82428373684348
avca-elkld_07_c21	0	84.1415274358713	0	9.7842711686647	0.935164819157769	0.043699290614849	0	0.0742887940452433	0.238889455361175	0	0	0.0684622219632635	0	0	0.00291328604098993	0.304438391283448	0	0	0	4.40634513699729
avca-elkld_08_c21	0.0352748042926723	83.7166076492056	0	5.82034270829094	1.91433649449849	0.194011423609698	0.0542689296810344	0.0352748042926723	6.3535349424071	0	0	0.077333224795474	0	0	0	0.0664794388592671	0	0	0	1.73253558006702
avca-elkld_09_c21	0	77.4643685780577	0	17.0345818141642	1.5059109490664	0.0298309579052038	0.0585570655176224	0.120428681913601	0.666224726549553	0	0	0	0	0	0	1.49265274555298	0.0176776046845652	0.0320406584907745	0	1.57772621809745
avca-elkld_10_c21	0	92.8379033561386	0	3.25917147012875	0.110434735764693	0.0538706028120455	0.192587405053063	0	0.0740720788665625	0	0	0.373053924473415	0	0	0.00404029521090341	0.0215482411248182	0	0	0	3.07331789042719
