	phylum	proportion	Treatment3
1	Ascomycota	77.6230105405786	Control
2	Ascomycota	81.6535246210847	Treated
3	Basidiomycota	15.3913528399049	Control
4	Basidiomycota	11.1693063830728	Treated
5	Blastocladiomycota	1.99515222095854	Control
6	Blastocladiomycota	1.46606879805952	Treated
7	Others	2.38331606141284	Control
8	Others	2.49730730645719	Treated
9	Unclassified	2.60716833714516	Control
10	Unclassified	3.21379289132576	Treated
