	Filobasidiaceae	Didymellaceae	Phaeosphaeriaceae	Lophiostomataceae	Mycosphaerellaceae	Nectriaceae	Pleosporaceae	Chaetomiaceae	Saccotheciaceae	Didymosphaeriaceae	Sporormiaceae	Pleosporales_fam_Incertae_sedis	Stachybotryaceae	Cladosporiaceae	Lentitheciaceae	Blastocladiomycota_fam_Incertae_sedis	Wiesneriomycetaceae	Trimorphomycetaceae	Podosporaceae	Sclerotiniaceae	Zopfiaceae	Chaetothyriales_fam_Incertae_sedis	Coniochaetaceae	Others	Unclassified
avca-elkld_01_c21	0.905110780252665	6.29155180801038	0.448133024750505	1.58025856096231	0.958179164762593	0.654510075622448	3.36394592921267	14.6218140542772	1.18224567713785	2.28046641213497	2.12568362398101	1.66133525951914	0.753276235682592	1.47412179194245	0	0.426021197871368	0.74590562672288	0	0	0	0.21669590341554	0.0737060895971225	0.23438536491885	37.2923330925601	22.7103203266654
avca-elkld_02_c21	5.79697473113579	1.86674827314855	1.50534813908076	11.5531462213284	2.22377663140101	2.59537757570458	2.46568155984961	7.23966075019673	4.04972166360642	5.68330855993705	2.5735186966279	3.39978432572644	0.467780012240972	0.835009180729212	0.00874355163067238	3.07190113957623	0.928273731456384	0.237533152633266	0.13406779167031	0.0116580688408965	9.54067208766868	1.57238203491592	1.08274314359826	17.7319227070036	13.4242662702923
avca-elkld_03_c21	8.62219760356841	6.53187953703974	5.54940089210227	2.71129121599953	9.76502142794671	5.94151774000758	3.69960059473485	2.17486370659748	3.57278213463164	1.01600536427509	5.05524620273461	0.604938631526778	0.51018920731174	1.31774583831375	1.85417334771581	1.13407772368153	0.212821783621469	0.811929681350398	3.10049269700592	0.0174922013935454	1.19384274510947	0.138479927698901	0.715722573685898	17.9367948456313	15.8114923763156
avca-elkld_04_c21	11.8071434203264	3.37459591579279	1.94617466950511	5.08423348839654	6.89374227969198	2.36405687403085	7.29716943940708	1.87258535046913	3.26946831716996	0.582144077373913	1.05259008121107	9.00549291702804	1.5703435044285	0.776630134826145	8.85962837393887	1.51515151515152	0.191857867486662	0.244421666798076	0.339036505558622	0	2.55985702646587	0.513811138269074	0.496727903492864	16.3552261557465	12.0279113774344
avca-elkld_05_c21	2.73231170524943	28.5175524399522	5.01032496467775	4.5201608520813	3.56374307140528	1.70633626779698	9.63590914031084	0.985762417128573	3.84414737528529	0.853168133898489	0.636887294859254	1.04010433648516	1.10205412455168	0.44451690033692	6.28627323117052	1.06075426584067	0.223888707749158	0.111944353874579	0.800999891316161	0	0.360830344527769	0.184762525812412	0.249972829040322	12.4703836539507	13.6572111726986
avca-elkld_06_c21	2.89508736190551	20.3805270443208	4.51957481260937	15.6324270678263	1.84517746611298	3.68382564182925	3.77915328162135	2.52552952545117	2.53858810624461	1.00681657917418	2.57515213246624	1.55527697249863	0.575883412990676	0.739115672908668	1.21967144610724	1.31369322782	0.514508083261511	0.551072109483141	1.95486954477787	0.0143644388727833	2.79323043171668	1.33589281516885	0.938911959048291	18.2428373684348	6.86881349734911
avca-elkld_07_c21	1.96501143464771	2.81860424465776	0.65694600224323	17.3122022985827	4.27524726515273	3.5600355420897	9.94450190091914	6.80397954873199	0.552067704767593	2.73411894946905	3.74357256267207	1.97520793579118	4.56948915529271	0.562264205911057	0.423883118964035	0.935164819157769	0.978864109772618	0.21703981005375	0.840483022825596	0	2.28838618519759	0.951187892383214	1.84556670696712	14.6596553582614	15.3865202254883
avca-elkld_08_c21	2.44617200537262	12.6704383572795	5.74436620673749	3.8666612397737	0.198081593335775	3.78118767552607	1.67012631093383	0.21300554899806	2.74872128834439	2.03101469331271	3.48813545524848	3.9453511878112	0.569823761650861	1.36622030472004	0.183157637673491	1.91433649449849	0.843881856540084	0.336467364022413	0.0501987599549568	0	0.546759466536421	0.198081593335775	0.0949706269418101	30.6158166795555	20.4770238918963
avca-elkld_09_c21	12.2240636393769	3.57087614628218	6.80035355209369	6.3330018782455	3.87912937796929	3.30129267484256	2.77206938459839	1.26947298641034	7.32515744116672	2.34891172246161	0.677273229477406	1.65064633742128	1.78101867196995	1.4606120870622	0.129267484255883	1.5059109490664	2.08706220307148	0.882775383935477	0.0320406584907745	0.0243067064412772	0.411004308916142	0.0629764666887637	0.818694066953928	24.3741023091371	14.2779803336648
avca-elkld_10_c21	1.95280935193665	17.0540860852233	1.09357323708452	4.65576684803103	2.90766578678015	0.910413187523568	3.03830199859936	27.0012928944675	1.15821796045898	0.60469751656521	0.536012497979852	0.564294564456176	0.886171416258148	0.406723051230943	0.141410332381619	0.110434735764693	0.540052793190756	0.160265043365835	0.101007380272585	0	0.585842805580994	0.220869471529386	0.956203199913807	5.81937186877121	28.5945159726337
avca-elkld_11_c21	1.25984631320309	50.3167682412738	1.61154337195577	0.650398670296052	10.6496760051068	9.16580348324621	0.792522824175559	0.460096837135355	0.804567243995857	0.65762532218823	3.62055259798136	1.72476091826657	2.15836003179727	0.686531929756944	0.0505865632452485	0	0.216799556765351	0.185484065232578	0	0.0168621877484162	0.635945366511695	0.0240888396405945	0.0939464745983186	11.4373810613543	2.77985209452461
avca-elkld_12_c21	10.4565186948607	14.3061195910937	20.4075059515474	4.2739112169164	2.0935443215236	4.87886850581151	2.28119311020865	2.13135415207954	6.76795966951407	0.492928161321944	0.316482285394202	0.533538720067217	0.450917238482005	1.91009662512253	0.249264808850301	0.57975073519115	1.96331046071979	0.945245763898614	0.569948186528497	0.214255706483686	1.63002380618961	0.28847500350091	0.319283013583532	13.6605517434533	8.2789525276572
avca-elkld_13_c21	2.33202676485727	0.271871824312732	0.931754893032955	3.09089229388552	0.234918372464399	4.98871599952488	1.35276029087646	0.418365865568621	0.399889139644455	0.546383180900344	0.59125522957332	1.05977220836468	0.757545762890816	0.134616146018925	0.112180121682438	0.720592311042483	10.6439138984572	0.0369534518483325	3.24530493196606	0	1.20230695120825	1.73945176914651	0.211162581990471	48.665056551979	16.3123094587639
avca-elkld_14_c21	14.2409062189728	6.42995757739868	3.065484249481	10.5063633901977	2.36032132863977	13.8787345428288	3.04066251466739	0.98835634985107	1.66756927520534	0.502075999638957	1.47802148208322	0.14554562686163	2.95152992147306	0.391506453651052	0.270782561603033	0.799936817402293	0.50658904233234	1.17000631825977	0.129749977434787	0.0552847729939525	1.62920841231158	0.3779673255709	0.67469988266089	15.4323494900262	17.3063904684538
avca-elkld_15_c21	6.28032066794353	11.8977440849609	7.11295631530054	15.560882180909	1.03104607021206	5.67591435092267	5.33758443911782	3.94412395490464	3.22847017535811	0.928973656142121	1.64462743568864	1.6159554092645	3.62070349684034	0.333742387576984	0.487424449210372	1.66641817577099	0.787907286135355	1.41869186746643	0.844104457926669	0.0940442466711777	2.49446629890014	0.352092484488434	1.22486896883924	10.0776438475566	12.3392932918927
