	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_4170	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV_4172	Fungi	Calcarisporiellomycota	Calcarisporiellomycetes	Calcarisporiellales	Calcarisporiellaceae	Calcarisporiellaceae_gen_Incertae_sedis	NA
ASV_4173	Fungi	Ascomycota	Pezizomycotina_cls_Incertae_sedis	Pezizomycotina_ord_Incertae_sedis	Pezizomycotina_fam_Incertae_sedis	Botryoderma	lateritium
ASV_4174	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hyponectriaceae	Monographella	NA
ASV_4175	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremataceae	Papiliotrema	NA
ASV_4176	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Corynascella	humicola
ASV_4177	NA	NA	NA	NA	NA	NA	NA
ASV_4178	Fungi	Glomeromycota	Paraglomeromycetes	Paraglomeromycetes_ord_Incertae_sedis	Paraglomeromycetes_fam_Incertae_sedis	Paraglomeromycetes_gen_Incertae_sedis	NA
ASV_4179	Fungi	Ascomycota	Dothideomycetes	Dothideales	NA	NA	NA
ASV_4180	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Zopfiella	NA
ASV_4181	Fungi	Chytridiomycota	Rhizophlyctidomycetes	Rhizophlyctidales	Rhizophlyctidaceae	NA	NA
ASV_4182	Metazoa	NA	NA	NA	NA	NA	NA
ASV_4183	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Warcupia	terrestris
ASV_4184	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	domesticus
ASV_4185	NA	NA	NA	NA	NA	NA	NA
ASV_4186	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Coniothyriaceae	NA	NA
ASV_4187	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Peniophora	NA
ASV_4188	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA
ASV_4189	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizales_fam_Incertae_sedis	Pezizales_gen_Incertae_sedis	NA
ASV_4190	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV_4191	Eukaryota_kgd_Incertae_sedis	Eukaryota_phy_Incertae_sedis	Eukaryota_cls_Incertae_sedis	Eukaryota_ord_Incertae_sedis	Eukaryota_fam_Incertae_sedis	Eukaryota_gen_Incertae_sedis	NA
ASV_4192	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Stephanosporaceae	Stephanosporaceae_gen_Incertae_sedis	NA
ASV_4193	Fungi	NA	NA	NA	NA	NA	NA
ASV_4194	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV_4195	Fungi	Ascomycota	Arthoniomycetes	Lichenostigmatales	Phaeococcomycetaceae	Phaeococcomyces	NA
ASV_4196	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV_4197	NA	NA	NA	NA	NA	NA	NA
ASV_4198	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Peniophora	NA
ASV_4199	NA	NA	NA	NA	NA	NA	NA
ASV_4200	NA	NA	NA	NA	NA	NA	NA
ASV_4201	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Claroideoglomeraceae_gen_Incertae_sedis	NA
ASV_4202	NA	NA	NA	NA	NA	NA	NA
ASV_4203	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	NA
ASV_4204	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Paracamarosporium	psoraleae
ASV_4205	NA	NA	NA	NA	NA	NA	NA
ASV_4206	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Lasiobolidium	orbiculoides
ASV_4207	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriales_fam_Incertae_sedis	Neophaeococcomyces	NA
ASV_4208	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiomycetes_ord_Incertae_sedis	Symmetrosporaceae	Symmetrospora	NA
ASV_4209	Metazoa	Metazoa_phy_Incertae_sedis	Metazoa_cls_Incertae_sedis	Metazoa_ord_Incertae_sedis	Metazoa_fam_Incertae_sedis	Metazoa_gen_Incertae_sedis	NA
ASV_4210	NA	NA	NA	NA	NA	NA	NA
ASV_4211	Fungi	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae	Wallemia	NA
ASV_4212	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	NA
ASV_4213	Fungi	Ascomycota	Sordariomycetes	Calosphaeriales	Calosphaeriales_fam_Incertae_sedis	Sulcatistroma	nolinae
ASV_4214	Fungi	NA	NA	NA	NA	NA	NA
ASV_4215	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
ASV_4216	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	NA
ASV_4217	Fungi	NA	NA	NA	NA	NA	NA
ASV_4218	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Acrophialophora	jodhpurensis
ASV_4219	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	neocosmosporiellum
ASV_4220	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	NA	NA	NA
ASV_4221	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	globispora
ASV_4222	Fungi	Ascomycota	Arthoniomycetes	Lichenostigmatales	Phaeococcomycetaceae	Phaeococcomyces	NA
ASV_4223	Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Hymenopleella	NA
ASV_4224	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	NA
ASV_4225	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiomycetes_ord_Incertae_sedis	Symmetrosporaceae	Symmetrosporaceae_gen_Incertae_sedis	NA
ASV_4226	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lentitheciaceae	Darksidea	NA
ASV_4227	Fungi	Ascomycota	Sordariomycetes	Conioscyphales	Conioscyphaceae	Conioscypha	NA
ASV_4228	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Clitopilus	NA
ASV_4229	NA	NA	NA	NA	NA	NA	NA
ASV_4230	Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA
ASV_4231	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	NA	NA	NA
ASV_4232	Fungi	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	Chrysozymaceae	Chrysozyma	flava
ASV_4233	Fungi	NA	NA	NA	NA	NA	NA
ASV_4234	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Tetragoniomycetaceae	Tetragoniomyces	NA
ASV_4235	Ichthyosporia	Ichthyosporia_phy_Incertae_sedis	Ichthyosporia_cls_Incertae_sedis	Ichthyosporia_ord_Incertae_sedis	Ichthyosporia_fam_Incertae_sedis	Ichthyosporia_gen_Incertae_sedis	NA
ASV_4236	NA	NA	NA	NA	NA	NA	NA
ASV_4237	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Myxospora	NA
ASV_4238	Fungi	Basidiomycota	Tremellomycetes	Tremellales	NA	NA	NA
ASV_4239	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae	Hydnophlebia	NA
ASV_4240	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma	NA
ASV_4241	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Monosporascus	NA
ASV_4242	Fungi	Glomeromycota	Paraglomeromycetes	Paraglomerales	Paraglomerales_fam_Incertae_sedis	Paraglomerales_gen_Incertae_sedis	NA
ASV_4243	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	NA
ASV_4244	Fungi	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	Colacogloeaceae	Colacogloea	NA
ASV_4245	NA	NA	NA	NA	NA	NA	NA
ASV_4246	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma	NA
ASV_4247	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	raperi
ASV_4248	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	NA	NA
ASV_4249	Fungi	Basidiomycota	Cystobasidiomycetes	Erythrobasidiales	Erythrobasidiales_fam_Incertae_sedis	Cyrenella	elegans
ASV_4250	NA	NA	NA	NA	NA	NA	NA
ASV_4251	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Tetragoniomycetaceae	Tetragoniomyces	NA
ASV_4252	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Stropharia	coronilla
ASV_4253	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	Serendipita	communis
ASV_4254	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	NA
ASV_4255	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	NA	NA	NA
ASV_4256	Fungi	NA	NA	NA	NA	NA	NA
ASV_4257	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	Serendipita	australiana
ASV_4258	Fungi	Basidiomycota	Agaricomycetes	Corticiales	NA	NA	NA
ASV_4259	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	NA	NA
ASV_4260	Fungi	NA	NA	NA	NA	NA	NA
ASV_4261	Rhizaria	Cercozoa	Cercozoa_cls_Incertae_sedis	Cercozoa_ord_Incertae_sedis	Cercozoa_fam_Incertae_sedis	Cercozoa_gen_Incertae_sedis	NA
ASV_4262	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Saproamanita	NA
ASV_4263	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriales_fam_Incertae_sedis	Neophaeococcomyces	NA
ASV_4264	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Neosetophoma	NA
ASV_4265	Fungi	Ascomycota	Lecanoromycetes	Caliciales	Physciaceae	NA	NA
ASV_4266	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Tulostoma	fimbriatum
ASV_4267	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Dominikia	disticha
ASV_4268	NA	NA	NA	NA	NA	NA	NA
ASV_4269	Fungi	NA	NA	NA	NA	NA	NA
ASV_4270	NA	NA	NA	NA	NA	NA	NA
ASV_4271	Fungi	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae	Limonomyces	NA
ASV_4272	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Coniothyriaceae	Coniothyrium	NA
ASV_4273	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Tintelnotia	NA
ASV_4274	Fungi	NA	NA	NA	NA	NA	NA
ASV_4275	NA	NA	NA	NA	NA	NA	NA
ASV_4276	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiomycetes_ord_Incertae_sedis	Buckleyzymaceae	Buckleyzyma	NA
ASV_4277	Fungi	Blastocladiomycota	Blastocladiomycota_cls_Incertae_sedis	Blastocladiomycota_ord_Incertae_sedis	Blastocladiomycota_fam_Incertae_sedis	Blastocladiomycota_gen_Incertae_sedis	NA
ASV_4278	NA	NA	NA	NA	NA	NA	NA
ASV_4279	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Heydenia	NA
ASV_4280	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Diatrypella	NA
ASV_4281	Fungi	Basidiomycota	Agaricomycetes	Geastrales	Geastraceae	Geastrum	NA
ASV_4282	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	NA
ASV_4283	NA	NA	NA	NA	NA	NA	NA
ASV_4284	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Collariella	causiiformis
ASV_4285	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleraceae	Genolevuria	amylolytica
ASV_4286	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	neobridgeri
ASV_4287	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	NA
ASV_4288	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	floriforme
ASV_4289	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Aphanoascus	NA
ASV_4290	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	Niesslia	mucida
ASV_4291	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Enterocarpus	grenotii
ASV_4292	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Aporospora	NA
ASV_4293	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	NA	NA
ASV_4294	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV_4295	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	NA
ASV_4296	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	NA	NA
ASV_4297	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Clarireedia	bennettii
ASV_4298	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Melanommataceae	NA	NA
ASV_4299	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Geopyxis	carbonaria
ASV_4300	NA	NA	NA	NA	NA	NA	NA
ASV_4301	Fungi	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae	Podospora	bullata
ASV_4302	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	NA
ASV_4303	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	NA
ASV_4304	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Arcopilus	tangerinicapillus
ASV_4305	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Clitopilus	NA
ASV_4306	NA	NA	NA	NA	NA	NA	NA
ASV_4307	NA	NA	NA	NA	NA	NA	NA
ASV_4308	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV_4309	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
