asv	avca-elkld_01_c21	avca-elkld_02_c21	avca-elkld_03_c21	avca-elkld_04_c21	avca-elkld_05_c21	avca-elkld_06_c21	avca-elkld_07_c21	avca-elkld_08_c21	avca-elkld_09_c21	avca-elkld_10_c21	avca-elkld_11_c21	avca-elkld_12_c21	avca-elkld_13_c21	avca-elkld_14_c21	avca-elkld_15_c21	avca-elkld_16_c19	avca-elkld_17_c19	avca-elkld_18_c19	avca-elkld_19_c19	avca-elkld_20_c19	avca-elkld_21_c19	avca-elkld_22_c19	avca-elkld_23_c19	avca-elkld_24_c19	avca-elkld_25_c19	avca-elkld_26_c19	avca-elkld_27_c19	avca-elkld_28_c19	avca-elkld_29_c19	avca-elkld_30_c19	avca-elkld_31_c19	avca-elkld_32_c19	avca-elkld_33_c13	avca-elkld_34_c13	avca-elkld_35_c13	avca-elkld_36_c13	avca-elkld_37_c13	avca-elkld_38_c13	avca-elkld_39_c13	avca-elkld_40_c13	avca-elkld_41_c13	avca-elkld_42_c13	avca-elkld_43_c13	avca-elkld_44_c13	avca-elkld_45_c13	avca-elkld_46_c13	avca-elkld_47_c13	avca-elkld_48_c13	avca-elkld_49_c12	avca-elkld_50_c12	avca-elkld_51_c12	avca-elkld_52_c12	avca-elkld_53_c12	avca-elkld_54_c12	avca-elkld_55_c12	avca-elkld_56_c12	avca-elkld_57_c12	avca-elkld_58_c12	avca-elkld_59_c12	avca-elkld_60_c12	avca-elkld_61_c12	avca-elkld_62_c12	taxonomy
ASV_1468	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Blastocladiomycota;c__Blastocladiomycota_cls_Incertae_sedis;o__Blastocladiomycota_ord_Incertae_sedis;f__Blastocladiomycota_fam_Incertae_sedis;g__Blastocladiomycota_gen_Incertae_sedis;s__NA
ASV_1469	0	0	0	0	0	0	0	95	0	0	0	14	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Coniothyriaceae;g__Hazslinszkyomyces;s__NA
ASV_1470	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidiaceae_gen_Incertae_sedis;s__NA
ASV_1471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	10	0	0	0	0	116	0	0	0	0	21	0	0	0	0	0	0	0	0	0	23	9	4	0	0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae;g__NA;s__NA
ASV_1472	0	0	104	0	0	0	0	0	0	0	0	0	13	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae;g__Thanatephorus;s__cucumeris
ASV_1473	0	0	0	0	0	59	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	k__Fungi;p__Blastocladiomycota;c__Blastocladiomycota_cls_Incertae_sedis;o__Blastocladiomycota_ord_Incertae_sedis;f__Blastocladiomycota_fam_Incertae_sedis;g__Blastocladiomycota_gen_Incertae_sedis;s__NA
ASV_1474	0	0	0	0	0	13	38	0	0	0	0	0	17	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	7	13	0	42	0	0	0	0	0	11	0	0	0	0	8	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Chaetothyriaceae;g__NA;s__NA
ASV_1475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0	k__Fungi;p__Ascomycota;c__NA;o__NA;f__NA;g__NA;s__NA
ASV_1476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae;g__Arthrobotrys;s__NA
ASV_1477	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Calosphaeriales;f__Pleurostomataceae;g__Pleurostoma;s__ootheca
