Sample,Year,year.xaxis,Treatment,rich,shan
1,2012,2012-01-01,Treated,6,1.2006760109967438
2,2012,2012-01-01,Treated,7,1.2402169655412132
3,2012,2012-01-01,Treated,8,1.439543436727709
4,2012,2012-01-01,Treated,6,0.3866545545036348
5,2012,2012-01-01,Treated,5,1.0901406443450703
6,2012,2012-01-01,Treated,8,1.2798431350232768
7,2012,2012-01-01,Treated,5,0.3650732591255038
8,2012,2012-01-01,Treated,4,0.4045099417736117
9,2012,2012-01-01,Treated,7,1.1631720459637698
10,2012,2012-01-01,Treated,6,0.9436265739585216
11,2012,2012-01-01,Treated,2,0.18182028230491803
12,2012,2012-01-01,Treated,9,1.3833571276332255
13,2012,2012-01-01,Treated,8,1.5982522374288584
14,2012,2012-01-01,Treated,10,1.9655435925944695
15,2012,2012-01-01,Treated,7,1.3436701805354496
16,2012,2012-01-01,Control,12,1.512918068294975
18,2012,2012-01-01,Control,13,1.3982609054090864
19,2012,2012-01-01,Control,13,1.373592987448433
20,2012,2012-01-01,Control,13,1.841592387956952
21,2012,2012-01-01,Control,9,1.4820835520078364
22,2012,2012-01-01,Control,9,0.9927812256453228
23,2012,2012-01-01,Control,10,1.534684585688748
24,2012,2012-01-01,Control,9,1.3998685025091606
25,2012,2012-01-01,Control,9,1.2550770040764467
26,2012,2012-01-01,Control,10,0.8952684077570618
27,2012,2012-01-01,Control,9,1.1011129879921984
28,2012,2012-01-01,Control,10,1.7885030346918858
29,2012,2012-01-01,Control,8,1.5492798571021942
30,2012,2012-01-01,Control,8,1.3113034697715549
31,2012,2012-01-01,Control,6,0.4552790163735872
32,2012,2012-01-01,Control,11,1.587228612050873
33,2012,2012-01-01,Treated,10,0.9386876684404863
34,2012,2012-01-01,Treated,8,0.5302113181985378
35,2012,2012-01-01,Treated,6,0.4040450105621599
36,2012,2012-01-01,Treated,9,0.5318771738146133
37,2012,2012-01-01,Treated,11,1.6221225066487364
38,2012,2012-01-01,Treated,11,0.8197450323850046
39,2012,2012-01-01,Treated,8,1.5177891005379842
40,2012,2012-01-01,Treated,11,1.7078465033299317
41,2012,2012-01-01,Treated,11,1.2338263624731376
42,2012,2012-01-01,Treated,3,0.6233517764098718
43,2012,2012-01-01,Treated,4,1.224522988988386
44,2012,2012-01-01,Treated,8,1.1983811597872889
45,2012,2012-01-01,Treated,6,1.533102534067051
46,2012,2012-01-01,Treated,6,1.1392586803868443
47,2012,2012-01-01,Treated,8,1.157044094500813
48,2012,2012-01-01,Treated,9,1.937093522923947
49,2012,2012-01-01,Control,12,1.541471366363495
50,2012,2012-01-01,Control,15,1.7180591787588055
51,2012,2012-01-01,Control,10,0.8017927204077335
52,2012,2012-01-01,Control,12,1.038709939283198
