	rep	ASV
1	ASV_1	ASV_1
2	ASV_2	ASV_2
4	ASV_4	ASV_4
5	ASV_5	ASV_5
6	ASV_6	ASV_6
8	ASV_8	ASV_8
9	ASV_9	ASV_9
10	ASV_10	ASV_10
12	ASV_12	ASV_12
13	ASV_13	ASV_13
14	ASV_14	ASV_14
15	ASV_15	ASV_15
16	ASV_16	ASV_16
17	ASV_17	ASV_17
18	ASV_18	ASV_18
20	ASV_20	ASV_20
21	ASV_21	ASV_21
22	ASV_22	ASV_22
23	ASV_23	ASV_23
24	ASV_24	ASV_24
25	ASV_25	ASV_25
26	ASV_26	ASV_26
27	ASV_27	ASV_27
28	ASV_28	ASV_28
29	ASV_29	ASV_29
30	ASV_30	ASV_30
31	ASV_31	ASV_31
32	ASV_32	ASV_32
33	ASV_33	ASV_33
34	ASV_34	ASV_34
35	ASV_35	ASV_35
36	ASV_36	ASV_36
37	ASV_37	ASV_37
38	ASV_38	ASV_38
39	ASV_39	ASV_39
40	ASV_40	ASV_40
41	ASV_41	ASV_41
42	ASV_42	ASV_42
43	ASV_43	ASV_43
44	ASV_44	ASV_44
45	ASV_45	ASV_45
46	ASV_46	ASV_46
47	ASV_47	ASV_47
48	ASV_48	ASV_48
49	ASV_49	ASV_49
50	ASV_50	ASV_50
51	ASV_51	ASV_51
52	ASV_52	ASV_52
53	ASV_53	ASV_53
54	ASV_54	ASV_54
55	ASV_55	ASV_55
56	ASV_56	ASV_56
57	ASV_57	ASV_57
58	ASV_58	ASV_58
59	ASV_59	ASV_59
60	ASV_60	ASV_60
61	ASV_61	ASV_61
62	ASV_62	ASV_62
63	ASV_63	ASV_63
64	ASV_64	ASV_64
65	ASV_65	ASV_65
66	ASV_66	ASV_66
67	ASV_67	ASV_67
68	ASV_68	ASV_68
69	ASV_69	ASV_69
70	ASV_70	ASV_70
71	ASV_71	ASV_71
72	ASV_72	ASV_72
73	ASV_73	ASV_73
74	ASV_74	ASV_74
75	ASV_75	ASV_75
76	ASV_76	ASV_76
78	ASV_78	ASV_78
79	ASV_79	ASV_79
80	ASV_80	ASV_80
81	ASV_81	ASV_81
82	ASV_82	ASV_82
83	ASV_83	ASV_83
84	ASV_84	ASV_84
85	ASV_85	ASV_85
86	ASV_86	ASV_86
87	ASV_87	ASV_87
88	ASV_88	ASV_88
90	ASV_90	ASV_90
91	ASV_91	ASV_91
92	ASV_92	ASV_92
93	ASV_93	ASV_93
94	ASV_94	ASV_94
95	ASV_95	ASV_95
96	ASV_96	ASV_96
97	ASV_97	ASV_97
98	ASV_98	ASV_98
99	ASV_99	ASV_99
100	ASV_100	ASV_100
101	ASV_101	ASV_101
102	ASV_102	ASV_102
103	ASV_103	ASV_103
104	ASV_104	ASV_104
105	ASV_105	ASV_105
106	ASV_106	ASV_106
107	ASV_107	ASV_107
108	ASV_108	ASV_108
109	ASV_109	ASV_109
110	ASV_110	ASV_110
111	ASV_111	ASV_111
112	ASV_112	ASV_112
113	ASV_113	ASV_113
114	ASV_114	ASV_114
115	ASV_115	ASV_115
116	ASV_116	ASV_116
117	ASV_117	ASV_117
118	ASV_118	ASV_118
119	ASV_119	ASV_119
120	ASV_120	ASV_120
121	ASV_121	ASV_121
122	ASV_122	ASV_122
123	ASV_123	ASV_123
124	ASV_124	ASV_124
125	ASV_125	ASV_125
126	ASV_126	ASV_126
127	ASV_127	ASV_127
128	ASV_128	ASV_128
129	ASV_129	ASV_129
130	ASV_130	ASV_130
131	ASV_131	ASV_131
132	ASV_132	ASV_132
133	ASV_133	ASV_133
134	ASV_134	ASV_134
135	ASV_135	ASV_135
136	ASV_136	ASV_136
