# -------------------------------------NOTICE------------------------------------------
# These data readings are Preliminary.
#
# Most data relayed by telemetry have received little or no review.
# Inaccuracies in the data may be present because of instrument
# malfunctions and/or physical changes at the measurement site.
#
# Subsequent review may result in significant revisions to the data.
# * (asterisk) indicates questionable data
#
# Retrieved: 2023-02-10 15:58:57 (MST)
# (Note: Gage clock may be different from current time)
#
# This file contains data for 1 Altar Wash at Highway 286 sensor(s):
# 6380
#
# -------------------------------------------------------------------------------------
#
# Data provided for Altar Wash at Highway 286 sensors
# over the period of '01/01/2020' to '11/30/2020'
#

Sensor ID,Date and Time (MST),Value (in)
6380,2020-09-18 10:04:49,.04,
6380,2020-09-17 22:04:49,.04,
6380,2020-09-16 22:00:25,6.26,
6380,2020-09-16 10:00:25,6.26,
6380,2020-09-15 22:00:25,6.26,
6380,2020-09-15 10:00:26,6.26,
6380,2020-09-14 22:00:25,6.26,
6380,2020-09-14 10:00:26,6.26,
6380,2020-09-13 22:00:26,6.26,
6380,2020-09-13 10:00:26,6.26,
6380,2020-09-12 22:00:26,6.26,
6380,2020-09-12 10:00:26,6.26,
6380,2020-09-11 22:00:26,6.26,
6380,2020-09-11 10:00:26,6.26,
6380,2020-09-10 22:00:26,6.26,
6380,2020-09-10 10:00:27,6.26,
6380,2020-09-09 22:00:26,6.26,
6380,2020-09-09 10:00:26,6.26,
6380,2020-09-08 22:00:26,6.26,
6380,2020-09-08 10:00:26,6.26,
6380,2020-09-07 22:00:27,6.26,
6380,2020-09-07 10:00:26,6.26,
6380,2020-09-06 22:00:27,6.26,
6380,2020-09-06 10:00:28,6.26,
6380,2020-09-05 22:00:27,6.26,
6380,2020-09-05 10:00:27,6.26,
6380,2020-09-04 22:00:27,6.26,
6380,2020-09-04 10:00:28,6.26,
6380,2020-09-03 22:00:27,6.26,
6380,2020-09-03 10:00:27,6.26,
6380,2020-09-02 22:00:27,6.26,
6380,2020-09-02 10:00:27,6.26,
6380,2020-09-01 22:00:27,6.26,
6380,2020-09-01 10:00:27,6.26,
6380,2020-08-31 22:00:27,6.26,
6380,2020-08-31 16:41:18,6.26,
6380,2020-08-31 16:29:34,6.22,
6380,2020-08-31 16:25:16,6.18,
6380,2020-08-31 16:23:45,6.14,
6380,2020-08-31 16:21:26,6.10,
6380,2020-08-31 16:18:46,6.06,
6380,2020-08-31 16:13:57,6.02,
6380,2020-08-31 16:08:10,5.98,
6380,2020-08-31 15:56:10,5.94,
6380,2020-08-31 15:54:45,5.91,
6380,2020-08-31 14:50:28,5.87,
6380,2020-08-31 14:37:49,5.83,
6380,2020-08-31 14:24:46,5.79,
6380,2020-08-31 14:19:50,5.75,
6380,2020-08-31 10:00:29,5.71,
6380,2020-08-30 22:00:28,5.71,
6380,2020-08-30 10:00:28,5.71,
6380,2020-08-29 22:00:29,5.71,
6380,2020-08-29 21:08:45,5.71,
6380,2020-08-29 16:36:04,5.67,
6380,2020-08-29 15:58:37,5.63,
6380,2020-08-29 15:56:05,5.59,
