# -------------------------------------NOTICE------------------------------------------
# These data readings are Preliminary.
#
# Most data relayed by telemetry have received little or no review.
# Inaccuracies in the data may be present because of instrument
# malfunctions and/or physical changes at the measurement site.
#
# Subsequent review may result in significant revisions to the data.
# * (asterisk) indicates questionable data
#
# Retrieved: 2023-02-02 20:30:53 (MST)
# (Note: Gage clock may be different from current time)
#
# This file contains data for 1 Altar Wash at Highway 286 sensor(s):
# 6380
#
# -------------------------------------------------------------------------------------
#
# Data provided for Altar Wash at Highway 286 sensors
# over the period of '01/01/2014' to '11/30/2014'
#

Sensor ID,Date and Time (MST),Value (in)
6380,2014-11-30 22:31:43,.16,*
6380,2014-11-30 10:31:42,.16,*
6380,2014-11-29 22:31:40,.16,*
6380,2014-11-29 10:31:39,.16,*
6380,2014-11-28 22:31:38,.16,*
6380,2014-11-28 10:31:36,.16,*
6380,2014-11-27 22:31:35,.16,*
6380,2014-11-27 10:31:33,.16,*
6380,2014-11-26 22:31:32,.16,*
6380,2014-11-25 22:31:29,.16,*
6380,2014-11-25 10:31:28,.16,*
6380,2014-11-24 22:31:27,.16,*
6380,2014-11-23 22:31:24,.16,*
6380,2014-11-23 10:31:21,.16,*
6380,2014-11-22 22:31:20,.16,*
6380,2014-11-22 10:31:18,.16,*
6380,2014-11-21 22:31:17,.16,*
6380,2014-11-21 19:44:03,.16,*
6380,2014-11-21 19:00:04,.12,*
6380,2014-11-21 17:47:04,.08,*
6380,2014-11-21 10:31:16,.04,*
6380,2014-11-20 22:31:14,.04,*
6380,2014-11-20 10:31:13,.04,*
6380,2014-11-19 22:31:11,.04,*
6380,2014-11-19 10:31:10,.04,*
6380,2014-11-18 22:31:08,.04,*
6380,2014-11-18 10:31:07,.04,*
6380,2014-11-17 22:31:06,.04,*
6380,2014-11-17 10:31:04,.04,*
6380,2014-11-16 22:31:03,.04,*
6380,2014-11-16 10:31:02,.04,*
6380,2014-11-15 22:31:00,.04,*
6380,2014-11-15 10:30:59,.04,*
6380,2014-11-14 22:30:58,.04,*
6380,2014-11-14 10:30:57,.04,*
6380,2014-11-13 22:30:55,.04,*
6380,2014-11-13 10:30:54,.04,*
6380,2014-11-12 22:30:53,.04,*
6380,2014-11-12 10:30:52,.04,*
6380,2014-11-11 22:30:50,.04,*
6380,2014-11-11 10:30:49,.04,*
6380,2014-11-10 22:30:48,.04,*
6380,2014-11-10 10:30:47,.04,*
6380,2014-11-09 22:30:45,.04,*
6380,2014-11-09 10:30:44,.04,*
6380,2014-11-08 22:30:43,.04,*
6380,2014-11-08 10:30:42,.04,*
6380,2014-11-07 22:30:40,.04,*
6380,2014-11-07 10:30:39,.04,*
6380,2014-11-06 22:30:38,.04,*
6380,2014-11-06 10:30:37,.04,*
6380,2014-11-05 22:30:36,.04,*
6380,2014-11-05 10:30:34,.04,*
6380,2014-11-04 22:30:33,.04,*
6380,2014-11-04 10:30:32,.04,*
6380,2014-11-03 22:30:31,.04,*
6380,2014-11-03 10:30:29,.04,*
6380,2014-11-02 22:30:28,.04,*
6380,2014-11-02 10:30:27,.04,*
6380,2014-11-01 22:30:26,.04,*
6380,2014-11-01 10:30:25,.04,*
6380,2014-10-31 22:30:23,.04,*
6380,2014-10-31 10:30:22,.04,*
6380,2014-10-30 22:30:21,.04,*
6380,2014-10-30 10:30:20,.04,*
6380,2014-10-29 22:30:19,.04,*
6380,2014-10-29 10:30:18,.04,*
6380,2014-10-28 22:30:16,.04,*
6380,2014-10-28 11:20:52,.04,*
6380,2014-10-28 00:08:47,8.82,*
6380,2014-10-27 12:08:46,8.82,*
6380,2014-10-27 00:08:45,8.82,*
6380,2014-10-26 12:08:44,8.82,*
6380,2014-10-26 00:08:42,8.82,*
6380,2014-10-25 12:08:41,8.82,*
6380,2014-10-25 00:08:40,8.82,*
6380,2014-10-24 12:08:39,8.82,*
6380,2014-10-24 00:08:38,8.82,*
6380,2014-10-23 12:08:37,8.82,*
6380,2014-10-23 00:08:35,8.82,*
6380,2014-10-22 12:08:34,8.82,*
6380,2014-10-22 00:08:33,8.82,*
6380,2014-10-21 12:08:32,8.82,*
6380,2014-10-21 00:08:31,8.82,*
6380,2014-10-20 12:08:30,8.82,*
6380,2014-10-20 00:08:28,8.82,*
6380,2014-10-19 12:08:27,8.82,*
6380,2014-10-19 00:08:26,8.82,*
6380,2014-10-18 12:08:25,8.82,*
6380,2014-10-18 00:08:24,8.82,*
6380,2014-10-17 12:08:23,8.82,*
6380,2014-10-17 00:08:21,8.82,*
6380,2014-10-16 12:08:20,8.82,*
6380,2014-10-16 00:08:19,8.82,*
6380,2014-10-15 12:08:18,8.82,*
6380,2014-10-15 00:08:17,8.82,*
6380,2014-10-14 12:08:16,8.82,*
6380,2014-10-14 00:08:15,8.82,*
6380,2014-10-13 12:08:13,8.82,*
6380,2014-10-13 00:08:12,8.82,*
6380,2014-10-12 12:08:11,8.82,*
6380,2014-10-12 00:08:10,8.82,*
6380,2014-10-11 12:08:09,8.82,*
6380,2014-10-11 00:08:08,8.82,*
6380,2014-10-10 12:08:06,8.82,*
6380,2014-10-10 00:08:05,8.82,*
6380,2014-10-09 12:08:04,8.82,*
6380,2014-10-09 05:37:12,8.82,*
6380,2014-10-09 00:08:03,8.78,*
6380,2014-10-08 13:55:39,8.78,*
6380,2014-10-08 13:36:00,8.74,*
6380,2014-10-08 13:31:33,8.70,*
6380,2014-10-08 13:29:01,8.66,*
6380,2014-10-08 13:24:09,8.62,*
6380,2014-10-08 13:13:06,8.58,*
6380,2014-10-08 13:06:59,8.54,*
6380,2014-10-08 12:52:19,8.50,*
6380,2014-10-08 12:44:32,8.46,*
6380,2014-10-08 12:36:28,8.43,*
6380,2014-10-08 12:34:17,8.39,*
6380,2014-10-08 12:31:10,8.35,*
6380,2014-10-08 12:26:58,8.31,*
6380,2014-10-08 12:19:47,8.27,*
6380,2014-10-08 12:16:04,8.23,*
6380,2014-10-08 12:13:20,8.19,*
6380,2014-10-08 12:08:31,8.15,*
6380,2014-10-08 12:08:02,8.11,*
6380,2014-10-08 11:55:51,8.11,*
6380,2014-10-08 11:47:08,8.07,*
6380,2014-10-08 11:29:29,8.03,*
6380,2014-10-08 01:25:20,7.99,*
