Name,Washname,Distance,Elevation 2011,Elevation 2019
2+04,19,0,1025.94104,1025.983276
2+04,19,0.6,1025.948731,1025.966065
2+04,19,1.2,1025.891357,1025.884399
2+04,19,1.8,1025.847168,1025.821411
2+04,19,2.4000001,1025.79126,1025.747803
2+04,19,3,1025.687622,1025.725098
2+04,19,3.5999999,1025.644409,1025.663086
2+04,19,4.1999998,1025.613892,1025.634399
2+04,19,4.8000002,1025.577881,1025.584961
2+04,19,5.4000001,1025.547241,1025.538208
2+04,19,6,1025.522583,1025.523315
2+04,19,6.5999999,1025.49231,1025.492188
2+04,19,7.1999998,1025.468628,1025.451538
2+04,19,7.8000002,1025.42688,1025.436768
2+04,19,8.3999996,1025.373657,1025.385254
2+04,19,9,1025.380005,1025.371582
2+04,19,9.6000004,1025.314087,1025.314941
2+04,19,10.1999998,1025.230469,1025.159546
2+04,19,10.8000002,1025.140991,1025.010498
2+04,19,11.3999996,1024.918701,1024.629273
2+04,19,12,1024.584961,1024.235962
2+04,19,12.6000004,1024.171631,1023.878967
2+04,19,13.1999998,1023.760193,1023.650391
2+04,19,13.8000002,1023.593018,1023.591919
2+04,19,14.3999996,1023.589539,1023.611267
2+04,19,15,1023.633362,1023.712891
2+04,19,15.6000004,1023.702026,1023.809021
2+04,19,16.2000008,1023.791138,1023.839539
2+04,19,16.7999992,1023.881104,1023.9104
2+04,19,17.3999996,1023.946411,1023.946472
2+04,19,18,1024.003296,1024.019165
2+04,19,18.6000004,1024.09314,1024.130981
2+04,19,19.2000008,1024.204102,1024.337647
2+04,19,19.7999992,1024.376831,1024.408325
2+04,19,20.3999996,1024.508667,1024.508179
2+04,19,21,1024.501343,1024.569458
2+04,19,21.6000004,1024.540772,1024.656616
2+04,19,22.2000008,1024.613648,1024.660034
2+04,19,22.7999992,1024.625977,1024.695557
2+04,19,23.3999996,1024.652954,1024.709717
2+04,19,24,1024.724487,1024.734253
2+04,19,24.6000004,1024.795044,1024.831177
2+04,19,25.2000008,1024.844116,1024.880005
2+04,19,25.7999992,1024.89209,1024.925903
2+04,19,26.3999996,1024.977173,1024.990234
2+04,19,27,1025.028076,1025.043945
2+04,19,27.6000004,1025.100952,1025.11853
2+04,19,28.2000008,1025.148071,1025.167847
2+04,19,28.7999992,1025.131836,1025.167847
