Name,Washname,Distance,Elevation 2011,Elevation 2019
9+68,19,0,1030.411377,1030.449219
9+68,19,0.6,1030.404297,1030.440308
9+68,19,1.2,1030.367554,1030.403076
9+68,19,1.8,1030.339844,1030.368042
9+68,19,2.4000001,1030.267578,1030.281738
9+68,19,3,1030.190796,1030.169434
9+68,19,3.5999999,1030.089356,1030.077759
9+68,19,4.1999998,1030.053833,1029.987549
9+68,19,4.8000002,1029.942505,1029.874268
9+68,19,5.4000001,1029.826294,1029.807129
9+68,19,6,1029.719238,1029.773315
9+68,19,6.5999999,1029.603638,1029.738037
9+68,19,7.1999998,1029.609497,1029.734863
9+68,19,7.8000002,1029.728638,1029.796387
9+68,19,8.3999996,1029.906372,1030.03479
9+68,19,9,1030.130371,1030.166504
9+68,19,9.6000004,1030.255249,1030.213867
9+68,19,10.1999998,1030.257813,1030.21521
9+68,19,10.8000002,1030.175415,1030.180786
9+68,19,11.3999996,1030.222656,1030.222046
9+68,19,12,1030.284058,1030.292236
9+68,19,12.6000004,1030.372315,1030.211914
9+68,19,13.1999998,1030.238892,1030.088745
9+68,19,13.8000002,1030.074707,1029.932983
9+68,19,14.3999996,1029.753174,1029.719482
9+68,19,15,1029.254517,1029.222778
9+68,19,15.6000004,1029.048584,1028.92334
9+68,19,16.2000008,1028.803345,1028.717529
9+68,19,16.7999992,1028.633667,1028.571899
9+68,19,17.3999996,1028.569946,1028.537964
9+68,19,18,1028.50769,1028.581787
9+68,19,18.6000004,1028.602539,1028.650879
9+68,19,19.2000008,1028.790527,1028.94812
9+68,19,19.7999992,1029.084351,1029.457153
9+68,19,20.3999996,1029.328491,1029.806152
9+68,19,21,1029.675903,1029.935181
9+68,19,21.6000004,1029.939941,1030.088501
9+68,19,22.2000008,1030.111572,1030.155396
9+68,19,22.7999992,1030.270386,1030.183594
9+68,19,23.3999996,1030.240845,1030.265137
9+68,19,24,1030.122681,1030.26648
9+68,19,24.6000004,1030.356079,1030.252808
9+68,19,25.2000008,1030.342651,1030.309448
9+68,19,25.7999992,1030.41394,1030.433106
9+68,19,26.3999996,1030.470947,1030.48877
9+68,19,27,1030.548828,1030.551025
9+68,19,27.6000004,1030.605713,1030.594971
9+68,19,28.2000008,1030.573731,1030.720947
9+68,19,28.7999992,1030.613281,1030.662354
9+68,19,29.3999996,1030.656006,1030.64624
9+68,19,30,1030.604248,1030.635864
9+68,19,30.6000004,1030.589722,1030.636719
9+68,19,31.2000008,1030.626099,1030.660523
9+68,19,31.7999992,1030.646729,1030.668579
9+68,19,32.4000015,1030.638672,1030.670288
9+68,19,33,1030.68689,1030.675049
9+68,19,33.5999985,1030.783569,1030.714722
9+68,19,34.2000008,1030.812866,1030.703613
9+68,19,34.7999992,1030.878174,1030.680298
9+68,19,35.4000015,1030.876709,1030.635132
9+68,19,36,1030.876709,1030.635132
