Name,Washname,Distance,Elevation 2011,Elevation 2019
1+11.5,13,0,1020.783997,1020.794922
1+11.5,13,0.6,1020.76355,1020.769898
1+11.5,13,1.2,1020.7453,1020.754273
1+11.5,13,1.8,1020.729431,1020.736084
1+11.5,13,2.4000001,1020.76648,1020.753235
1+11.5,13,3,1020.765381,1020.75293
1+11.5,13,3.5999999,1020.710388,1020.723267
1+11.5,13,4.1999998,1020.717102,1020.715454
1+11.5,13,4.8000002,1020.723023,1020.731812
1+11.5,13,5.4000001,1020.773377,1020.712647
1+11.5,13,6,1020.733765,1020.724548
1+11.5,13,6.5999999,1020.704102,1020.69635
1+11.5,13,7.1999998,1020.713623,1020.670593
1+11.5,13,7.8000002,1020.649597,1020.660584
1+11.5,13,8.3999996,1020.624085,1020.627991
1+11.5,13,9,1020.636963,1020.613525
1+11.5,13,9.6000004,1020.61792,1020.596436
1+11.5,13,10.1999998,1020.541077,1020.583984
1+11.5,13,10.8000002,1020.543518,1020.590027
1+11.5,13,11.3999996,1020.494812,1020.566895
1+11.5,13,12,1020.34668,1020.545227
1+11.5,13,12.6000004,1020.109802,1020.488037
1+11.5,13,13.1999998,1019.892151,1020.404541
1+11.5,13,13.8000002,1019.892151,1020.333801
1+11.5,13,14.3999996,1019.671326,1019.836182
1+11.5,13,15,1019.495972,1019.373962
1+11.5,13,15.6000004,1019.256653,1019.409973
1+11.5,13,16.2000008,1019.409973,1019.595276
1+11.5,13,16.7999992,1019.573425,1020.081055
1+11.5,13,17.3999996,1019.897827,1020.431763
1+11.5,13,18,1020.238709,1020.447449
1+11.5,13,18.6000004,1020.390015,1020.513123
1+11.5,13,19.2000008,1020.485901,1020.470337
1+11.5,13,19.7999992,1020.465332,1020.477356
1+11.5,13,20.3999996,1020.518982,1020.519043
1+11.5,13,21,1020.569336,1020.570801
1+11.5,13,21.6000004,1020.620178,1020.612
1+11.5,13,22.2000008,1020.649536,1020.63678
1+11.5,13,22.7999992,1020.660034,1020.657837
1+11.5,13,23.3999996,1020.66803,1020.702026
1+11.5,13,24,1020.673462,1020.67273
1+11.5,13,24.6000004,1020.641419,1020.662354
1+11.5,13,25.2000008,1020.643921,1020.65918
1+11.5,13,25.7999992,1020.566101,1020.617676
1+11.5,13,26.3999996,1020.484802,1020.48523
1+11.5,13,27,1020.460022,1020.44751
1+11.5,13,27.6000004,1020.501831,1020.468872
1+11.5,13,28.2000008,1020.510986,1020.488648
1+11.5,13,28.7999992,1020.531738,1020.497376
1+11.5,13,29.3999996,1020.554321,1020.513428
1+11.5,13,30,1020.562744,1020.533752
1+11.5,13,30.6000004,1020.586548,1020.573425
