Name,Washname,Distance,Elevation 2011,Elevation 2019
7+97,19,0,1029.391846,1029.427246
7+97,19,0.6,1029.348023,1029.391235
7+97,19,1.2,1029.309937,1029.357178
7+97,19,1.8,1029.263794,1029.315064
7+97,19,2.4000001,1029.234619,1029.319946
7+97,19,3,1029.295776,1029.293091
7+97,19,3.5999999,1029.316406,1029.328491
7+97,19,4.1999998,1029.327759,1029.312866
7+97,19,4.8000002,1029.360596,1029.307739
7+97,19,5.4000001,1029.296143,1029.340698
7+97,19,6,1029.31543,1029.304077
7+97,19,6.5999999,1029.351929,1029.353149
7+97,19,7.1999998,1029.37915,1029.311646
7+97,19,7.8000002,1029.165405,1029.145264
7+97,19,8.3999996,1029.165405,1029.039673
7+97,19,9,1029.128906,1028.964356
7+97,19,9.6000004,1028.929932,1029.021729
7+97,19,10.1999998,1029.076172,1029.195923
7+97,19,10.8000002,1029.193604,1029.195923
7+97,19,11.3999996,1029.2146,1029.112671
7+97,19,12,1029.067383,1029.064209
7+97,19,12.6000004,1028.915527,1028.956177
7+97,19,13.1999998,1028.783814,1028.844727
7+97,19,13.8000002,1028.471436,1028.536377
7+97,19,14.3999996,1028.114868,1028.196167
7+97,19,15,1027.653809,1027.807617
7+97,19,15.6000004,1027.442627,1027.550415
7+97,19,16.2000008,1027.408325,1027.473633
7+97,19,16.7999992,1027.429932,1027.432739
7+97,19,17.3999996,1027.5177,1027.514526
7+97,19,18,1027.677124,1027.66626
7+97,19,18.6000004,1027.677124,1027.924194
7+97,19,19.2000008,1027.933228,1028.220337
7+97,19,19.7999992,1028.288452,1028.545288
7+97,19,20.3999996,1028.662476,1029.029541
7+97,19,21,1028.99353,1029.029541
7+97,19,21.6000004,1029.258545,1029.22644
7+97,19,22.2000008,1029.291138,1029.327148
7+97,19,22.7999992,1029.219849,1029.2771
7+97,19,23.3999996,1029.069824,1029.131958
7+97,19,24,1028.891113,1028.994751
7+97,19,24.6000004,1028.720215,1028.801148
7+97,19,25.2000008,1028.442139,1028.622681
7+97,19,25.7999992,1028.383667,1028.485107
7+97,19,26.3999996,1028.313477,1028.453247
7+97,19,27,1028.72522,1028.532471
7+97,19,27.6000004,1028.723755,1028.952393
7+97,19,28.2000008,1028.723755,1029.036133
7+97,19,28.7999992,1028.806641,1029.055664
7+97,19,29.3999996,1028.891846,1029.067261
7+97,19,30,1028.979126,1029.037842
7+97,19,30.6000004,1028.964722,1029.04126
7+97,19,31.2000008,1029.010986,1029.032471
7+97,19,31.7999992,1029.228272,1029.12915
7+97,19,32.4000015,1029.397583,1029.243774
7+97,19,33,1029.409668,1029.334595
