Name,Washname,Distance,Elevation 2011,Elevation 2019
2+63,12,0,1020.616821,1020.627075
2+63,12,0.6,1020.575867,1020.607727
2+63,12,1.2,1020.566528,1020.603149
2+63,12,1.8,1020.555847,1020.585266
2+63,12,2.4,1020.545715,1020.56604
2+63,12,3,1020.524902,1020.557007
2+63,12,3.6,1020.501221,1020.492554
2+63,12,4.2,1020.452637,1020.454773
2+63,12,4.8,1020.377441,1020.282593
2+63,12,5.4,1020.308777,1020.285034
2+63,12,6,1020.175598,1020.324463
2+63,12,6.6,1020.368835,1020.429932
2+63,12,7.2,1020.488525,1020.565796
2+63,12,7.8,1020.602844,1020.642395
2+63,12,8.4,1020.678833,1020.573364
2+63,12,9,1020.690186,1020.551636
2+63,12,9.6,1020.585022,1020.528381
2+63,12,10.2,1020.516663,1020.530945
2+63,12,10.8,1020.500916,1020.53363
2+63,12,11.4,1020.495178,1020.482849
2+63,12,12,1020.447815,1020.473389
2+63,12,12.6,1020.380859,1020.454224
2+63,12,13.2,1020.284363,1020.406189
2+63,12,13.8,1020.170471,1020.272949
2+63,12,14.4,1019.983582,1019.94458
2+63,12,15,1019.857361,1019.669922
2+63,12,15.6,1019.74054,1019.654053
2+63,12,16.2,1019.751526,1019.96936
2+63,12,16.8,1020.081116,1020.311951
2+63,12,17.4,1020.41156,1020.587524
2+63,12,18,1020.596802,1020.587524
2+63,12,18.6,1020.841736,1020.69928
2+63,12,19.2,1020.871643,1020.779114
2+63,12,19.8,1020.859802,1020.810791
2+63,12,20.4,1020.847717,1020.799255
2+63,12,21,1020.835693,1020.793884
2+63,12,21.6,1020.781738,1020.781189
2+63,12,22.2,1020.730774,1020.776672
2+63,12,22.8,1020.694702,1020.749268
2+63,12,23.4,1020.646851,1020.607971
2+63,12,24,1020.591065,1020.545288
2+63,12,24.6,1020.535767,1020.547791
2+63,12,25.2,1020.56311,1020.550964
2+63,12,25.8,1020.581421,1020.564453
2+63,12,26.4,1020.625305,1020.603333
2+63,12,27,1020.638367,1020.559876
2+63,12,27.6,1020.646179,1020.556458
2+63,12,28.2,1020.482239,1020.543274
2+63,12,28.8,1020.378906,1020.444214
2+63,12,29.4,1020.259583,1020.331421
2+63,12,30,1020.152893,1020.237732
2+63,12,30.6,1020.097046,1020.109863
2+63,12,31.2,1020.120606,1020.089233
2+63,12,31.8,1020.391419,1020.208252
2+63,12,32.4,1020.509583,1020.430603
2+63,12,33,1020.578125,1020.526306
2+63,12,33.6,1020.607239,1020.579712
2+63,12,34.2,1020.586609,1020.562134
2+63,12,34.8,1020.586609,1020.562134
