Name,Washname,Distance,Elevation 2011,Elevation 2019
4+09,12,0,1021.690857,1021.723755
4+09,12,0.6,1021.686401,1021.718018
4+09,12,1.2,1021.651001,1021.704163
4+09,12,1.8,1021.606751,1021.682007
4+09,12,2.4,1021.627502,1021.652344
4+09,12,3,1021.535584,1021.614746
4+09,12,3.6,1021.486633,1021.562256
4+09,12,4.2,1021.519287,1021.468445
4+09,12,4.8,1021.436401,1021.414673
4+09,12,5.4,1021.321838,1021.344849
4+09,12,6,1021.217102,1021.233948
4+09,12,6.6,1021.13385,1021.178406
4+09,12,7.2,1021.078186,1021.081482
4+09,12,7.8,1021.131226,1021.147095
4+09,12,8.4,1021.183594,1021.22876
4+09,12,9,1021.270264,1021.296082
4+09,12,9.6,1021.378174,1021.354187
4+09,12,10.2,1021.379089,1021.376953
4+09,12,10.8,1021.35199,1021.389221
4+09,12,11.4,1021.326904,1021.284729
4+09,12,12,1021.250366,1021.220032
4+09,12,12.6,1021.065002,1021.119995
4+09,12,13.2,1020.898254,1020.985657
4+09,12,13.8,1020.775085,1020.794434
4+09,12,14.4,1020.566223,1020.58667
4+09,12,15,1020.358215,1020.58667
4+09,12,15.6,1020.362915,1020.446655
4+09,12,16.2,1020.457764,1020.53595
4+09,12,16.8,1020.681091,1020.630981
4+09,12,17.4,1020.866577,1020.737793
4+09,12,18,1020.946838,1020.856201
4+09,12,18.6,1020.882935,1020.930969
4+09,12,19.2,1020.968933,1021.026123
4+09,12,19.8,1021.054993,1021.241028
4+09,12,20.4,1021.188232,1021.210571
4+09,12,21,1021.356934,1021.37738
4+09,12,21.6,1021.492493,1021.50592
4+09,12,22.2,1021.491821,1021.464478
4+09,12,22.8,1021.476746,1021.486633
4+09,12,23.4,1021.521118,1021.517944
4+09,12,24,1021.587769,1021.572571
4+09,12,24.6,1021.649536,1021.559082
4+09,12,25.2,1021.628296,1021.639648
4+09,12,25.8,1021.65033,1021.69342
4+09,12,26.4,1021.643738,1021.682312
4+09,12,27,1021.558411,1021.603821
4+09,12,27.6,1021.620728,1021.618347
4+09,12,28.2,1021.666748,1021.640259
4+09,12,28.8,1021.642578,1021.542847
4+09,12,29.4,1021.55249,1021.555969
4+09,12,30,1021.576721,1021.561523
4+09,12,30.6,1021.592835,1021.561523
4+09,12,31.2,1021.641296,1021.627564
