Name,Washname,Distance,Elevation 2011,Elevation 2019
6+30,12,0,1022.953735,1022.999939
6+30,12,0.6,1022.981018,1022.998535
6+30,12,1.2,1022.963013,1023.001831
6+30,12,1.8,1022.956177,1022.965942
6+30,12,2.4,1022.926697,1022.961182
6+30,12,3,1022.910339,1022.949158
6+30,12,3.6,1022.879334,1022.937683
6+30,12,4.2,1022.861877,1022.937683
6+30,12,4.8,1022.873413,1022.920776
6+30,12,5.4,1022.900208,1022.927734
6+30,12,6,1022.898315,1022.934082
6+30,12,6.6,1022.841553,1022.906799
6+30,12,7.2,1022.858521,1022.890991
6+30,12,7.8,1022.909302,1022.879028
6+30,12,8.4,1022.853638,1022.872559
6+30,12,9,1022.831848,1022.880188
6+30,12,9.6,1022.792603,1022.888184
6+30,12,10.2,1022.820374,1022.898865
6+30,12,10.8,1022.802612,1022.860657
6+30,12,11.4,1022.8573,1022.860657
6+30,12,12,1022.8573,1022.869873
6+30,12,12.6,1022.822022,1022.839783
6+30,12,13.2,1022.808716,1022.799866
6+30,12,13.8,1022.623535,1022.653992
6+30,12,14.4,1022.46936,1022.55896
6+30,12,15,1022.256348,1022.425781
6+30,12,15.6,1021.888062,1022.013794
6+30,12,16.2,1021.587158,1021.651856
6+30,12,16.8,1021.364685,1021.421082
6+30,12,17.4,1021.448975,1021.527771
6+30,12,18,1021.896545,1021.999939
6+30,12,18.6,1022.569397,1022.31311
6+30,12,19.2,1022.569397,1022.671509
6+30,12,19.8,1022.936035,1022.868225
6+30,12,20.4,1022.933655,1022.942444
6+30,12,21,1022.933106,1022.950378
6+30,12,21.6,1022.9328,1022.949219
6+30,12,22.2,1022.902405,1022.918274
6+30,12,22.8,1022.86853,1022.912231
6+30,12,23.4,1022.877686,1022.894165
6+30,12,24,1022.909546,1022.920166
6+30,12,24.6,1022.867981,1022.971436
6+30,12,25.2,1022.88855,1022.972168
6+30,12,25.8,1022.879273,1022.972168
6+30,12,26.4,1022.928223,1022.996094
6+30,12,27,1022.919739,1023.007019
6+30,12,27.6,1022.90741,1022.955872
6+30,12,28.2,1022.980408,1022.965454
6+30,12,28.8,1022.938782,1022.989014
6+30,12,29.4,1022.949707,1022.981995
6+30,12,30,1022.94928,1022.995483
6+30,12,30.6,1022.953064,1022.997986
6+30,12,31.2,1022.943604,1022.993958
6+30,12,31.8,1022.976135,1022.992249
6+30,12,32.4,1022.994385,1022.988892
6+30,12,33,1022.93573,1022.988892
6+30,12,33.6,1022.93396,1023.009583
