Name,Washname,Distance,Elevation 2011,Elevation 2019
9+26,19,0,1030.003052,1030.054199
9+26,19,0.6,1030.09375,1030.083618
9+26,19,1.2,1030.187744,1030.112305
9+26,19,1.8,1030.18335,1030.123413
9+26,19,2.4000001,1030.154541,1030.107544
9+26,19,3,1030.100952,1030.075195
9+26,19,3.5999999,1030.051148,1030.061279
9+26,19,4.1999998,1030.034668,1029.969849
9+26,19,4.8000002,1030.012451,1029.791626
9+26,19,5.4000001,1029.606323,1029.470337
9+26,19,6,1029.281372,1029.257202
9+26,19,6.5999999,1029.134766,1029.108887
9+26,19,7.1999998,1028.983887,1029.187012
9+26,19,7.8000002,1029.082886,1029.300659
9+26,19,8.3999996,1029.211304,1029.333008
9+26,19,9,1029.359741,1029.423706
9+26,19,9.6000004,1029.555298,1029.590454
9+26,19,10.1999998,1029.645996,1029.764771
9+26,19,10.8000002,1029.81189,1029.88794
9+26,19,11.3999996,1029.906982,1029.936646
9+26,19,12,1029.910034,1029.892944
9+26,19,12.6000004,1029.814941,1029.784668
9+26,19,13.1999998,1029.64563,1029.625488
9+26,19,13.8000002,1029.455566,1029.439453
9+26,19,14.3999996,1029.216065,1029.181885
9+26,19,15,1028.976929,1028.983887
9+26,19,15.6000004,1028.749634,1028.792603
9+26,19,16.2000008,1028.558594,1028.591431
9+26,19,16.7999992,1028.410645,1028.40564
9+26,19,17.3999996,1028.259766,1028.251099
9+26,19,18,1028.23877,1028.268677
9+26,19,18.6000004,1028.250855,1028.425781
9+26,19,19.2000008,1028.428711,1028.659424
9+26,19,19.7999992,1028.682495,1028.88855
9+26,19,20.3999996,1029.018189,1029.217163
9+26,19,21,1029.459839,1029.542847
9+26,19,21.6000004,1029.584595,1029.720825
9+26,19,22.2000008,1029.606079,1029.718628
9+26,19,22.7999992,1029.517822,1029.59668
9+26,19,23.3999996,1029.341187,1029.517944
9+26,19,24,1029.341431,1029.533936
9+26,19,24.6000004,1029.479126,1029.642212
9+26,19,25.2000008,1029.666016,1029.802368
9+26,19,25.7999992,1029.833984,1029.968994
9+26,19,26.3999996,1030.173462,1030.128418
9+26,19,27,1030.165894,1030.209961
9+26,19,27.6000004,1030.192871,1030.247803
9+26,19,28.2000008,1030.241821,1030.300293
9+26,19,28.7999992,1030.292358,1030.331543
9+26,19,29.3999996,1030.298462,1030.360107
9+26,19,30,1030.318481,1030.383057
9+26,19,30.6000004,1030.309448,1030.375244
9+26,19,31.2000008,1030.335449,1030.370239
9+26,19,31.7999992,1030.344116,1030.438721
9+26,19,32.4000015,1030.348511,1030.400391
9+26,19,33,1030.304443,1030.375977
9+26,19,33.5999985,1030.281616,1030.351196
9+26,19,34.2000008,1030.268799,1030.375488
9+26,19,34.7999992,1030.272217,1030.405518
