Name,Washname,Distance,Elevation 2011,Elevation 2019
11+73,21,0,1034.090698,1034.18811
11+73,21,0.6,1034.106567,1034.184692
11+73,21,1.2,1034.092896,1034.190308
11+73,21,1.8,1034.102051,1034.205444
11+73,21,2.4000001,1033.997681,1034.149048
11+73,21,3,1033.948731,1034.064453
11+73,21,3.5999999,1034.142456,1034.077515
11+73,21,4.1999998,1034.17749,1034.028442
11+73,21,4.8000002,1034.315918,1034.12854
11+73,21,5.4000001,1034.315918,1034.348511
11+73,21,6,1034.30481,1034.297241
11+73,21,6.5999999,1034.197632,1034.232056
11+73,21,7.1999998,1034.102783,1034.150635
11+73,21,7.8000002,1034.036499,1034.084961
11+73,21,8.3999996,1033.9021,1033.987793
11+73,21,9,1033.920654,1033.987793
11+73,21,9.6000004,1033.947266,1034.023438
11+73,21,10.1999998,1033.952148,1034.059204
11+73,21,10.8000002,1033.967651,1034.056397
11+73,21,11.3999996,1033.958496,1034.091675
11+73,21,12,1034.040039,1034.180542
11+73,21,12.6000004,1034.205811,1034.219971
11+73,21,13.1999998,1034.205811,1034.300049
11+73,21,13.8000002,1034.294922,1034.323364
11+73,21,14.3999996,1034.238159,1034.353516
11+73,21,15,1034.334595,1034.334595
11+73,21,15.6000004,1034.255615,1034.30188
11+73,21,16.2000008,1034.101074,1034.245606
11+73,21,16.7999992,1034.003052,1034.113037
11+73,21,17.3999996,1034.029541,1034.113037
11+73,21,18,1033.788208,1033.790649
11+73,21,18.6000004,1033.507935,1033.565308
11+73,21,19.2000008,1033.419312,1033.484619
11+73,21,19.7999992,1033.349854,1033.456909
11+73,21,20.3999996,1033.264648,1033.410523
11+73,21,21,1033.269531,1033.431763
11+73,21,21.6000004,1033.269531,1033.439209
11+73,21,22.2000008,1033.293823,1033.535767
11+73,21,22.7999992,1033.393311,1033.600342
11+73,21,23.3999996,1033.5979,1033.646484
11+73,21,24,1033.708618,1033.879273
11+73,21,24.6000004,1034.06311,1034.044434
11+73,21,25.2000008,1034.384522,1034.408325
11+73,21,25.7999992,1034.384522,1034.408325
11+73,21,26.3999996,1034.363037,1034.459595
11+73,21,27,1034.263062,1034.405273
11+73,21,27.6000004,1034.244263,1034.284424
11+73,21,28.2000008,1034.229004,1034.242798
11+73,21,28.7999992,1034.066528,1034.092407
11+73,21,29.3999996,1034.085815,1034.120606
11+73,21,30,1034.088989,1034.099487
11+73,21,30.6000004,1034.155151,1034.182983
11+73,21,31.2000008,1034.169434,1034.18103
11+73,21,31.7999992,1034.145874,1034.283936
11+73,21,32.4000015,1034.175659,1034.259155
11+73,21,33,1034.165405,1034.326416
11+73,21,33.5999985,1034.307495,1034.336792
11+73,21,34.2000008,1034.307495,1034.364868
11+73,21,34.7999992,1034.352173,1034.375122
11+73,21,35.4000015,1034.355713,1034.398071
11+73,21,36,1034.364624,1034.400635
11+73,21,36.5999985,1034.328491,1034.380371
11+73,21,37.2000008,1034.311646,1034.37146
11+73,21,37.7999992,1034.317383,1034.391113
11+73,21,38.4000015,1034.292481,1034.391113
11+73,21,39,1034.342529,1034.440674
11+73,21,39.5999985,1034.401123,1034.455811
11+73,21,40.2000008,1034.415527,1034.530762
11+73,21,40.7999992,1034.430176,1034.582398
11+73,21,41.4000015,1034.430176,1034.582398
