Channel.elev,Station.elev
12,1+04
12,1+52
12,2+63
12,2+98
12,3+93
12,4+00
12,4+09
12,4+56
12,4+65
12,5+13
12,5+48
12,6+30
12,6+93
13,1+11.5
13,1+71
13,2+16
13,2+67
13,3+31
13,4+36
13,4+50
19,1+04
19,10+98
19,2+04
19,2+52
19,3+63
19,3+98
19,5+00
19,5+09
19,5+62
19,6+13
19,6+97
19,7+30
19,7+50
19,7+97
19,9+05
19,9+26
19,9+68
21,1+07.5
21,1+49
21,10+13
21,11+24
21,11+73
21,2+15
21,3+80
21,4+90
21,6+36
21,7+49.5
21,7+66
21,8+62
12,1+83
