Name,Washname,Distance,Elevation 2011,Elevation 2019
10+98,19,0,1031.294556,1031.336182
10+98,19,0.6,1031.374268,1031.452026
10+98,19,1.2,1031.394653,1031.489014
10+98,19,1.8,1031.441895,1031.482178
10+98,19,2.4000001,1031.37561,1031.347412
10+98,19,3,1031.31604,1031.327026
10+98,19,3.5999999,1031.305908,1031.339478
10+98,19,4.1999998,1031.277344,1031.355835
10+98,19,4.8000002,1031.284058,1031.337891
10+98,19,5.4000001,1031.291138,1031.35669
10+98,19,6,1031.306885,1031.363037
10+98,19,6.5999999,1031.354004,1031.37793
10+98,19,7.1999998,1031.415894,1031.395996
10+98,19,7.8000002,1031.415894,1031.436035
10+98,19,8.3999996,1031.357666,1031.375244
10+98,19,9,1031.294434,1031.277954
10+98,19,9.6000004,1031.197876,1031.221314
10+98,19,10.1999998,1031.090942,1031.158569
10+98,19,10.8000002,1030.971191,1030.994751
10+98,19,11.3999996,1030.946045,1030.869263
10+98,19,12,1030.646973,1030.702393
10+98,19,12.6000004,1030.363037,1030.450562
10+98,19,13.1999998,1030.13794,1030.092651
10+98,19,13.8000002,1029.844482,1029.859741
10+98,19,14.3999996,1029.690796,1029.702148
10+98,19,15,1029.590332,1029.555664
10+98,19,15.6000004,1029.520508,1029.554932
10+98,19,16.2000008,1029.516235,1029.590332
10+98,19,16.7999992,1029.627686,1029.7146
10+98,19,17.3999996,1029.89624,1030.038696
10+98,19,18,1030.229004,1030.371704
10+98,19,18.6000004,1030.660156,1030.637695
10+98,19,19.2000008,1030.849976,1030.871826
10+98,19,19.7999992,1030.904785,1030.822022
10+98,19,20.3999996,1030.843994,1030.750488
10+98,19,21,1030.577271,1030.690064
10+98,19,21.6000004,1030.501221,1030.607056
10+98,19,22.2000008,1030.464111,1030.547974
10+98,19,22.7999992,1030.513916,1030.623535
10+98,19,23.3999996,1030.821289,1030.716675
10+98,19,24,1030.962036,1030.938721
10+98,19,24.6000004,1031.133423,1031.265503
10+98,19,25.2000008,1031.237427,1031.288086
10+98,19,25.7999992,1031.306397,1031.338135
10+98,19,26.3999996,1031.306397,1031.376709
10+98,19,27,1031.367554,1031.364014
10+98,19,27.6000004,1031.383667,1031.389038
10+98,19,28.2000008,1031.367554,1031.381592
10+98,19,28.7999992,1031.333862,1031.339478
10+98,19,29.3999996,1031.280518,1031.286499
10+98,19,30,1031.236572,1031.379517
10+98,19,30.6000004,1031.296143,1031.514648
10+98,19,31.2000008,1031.376587,1031.555786
