Name,Washname,Distance,Elevation 2011,Elevation 2019
7+49.5,21,0,1031.623779,1031.67273
7+49.5,21,0.6,1031.581055,1031.662109
7+49.5,21,1.2,1031.544434,1031.662109
7+49.5,21,1.8,1031.528442,1031.609985
7+49.5,21,2.4000001,1031.452515,1031.568237
7+49.5,21,3,1031.430054,1031.571777
7+49.5,21,3.5999999,1031.443726,1031.519653
7+49.5,21,4.1999998,1031.393066,1031.469116
7+49.5,21,4.8000002,1031.363281,1031.463379
7+49.5,21,5.4000001,1031.358032,1031.463867
7+49.5,21,6,1031.35791,1031.418213
7+49.5,21,6.5999999,1031.32019,1031.385132
7+49.5,21,7.1999998,1031.251709,1031.393677
7+49.5,21,7.8000002,1031.174805,1031.370606
7+49.5,21,8.3999996,1031.109497,1031.330322
7+49.5,21,9,1031.140991,1031.327271
7+49.5,21,9.6000004,1031.1521,1031.31189
7+49.5,21,10.1999998,1031.197022,1031.295776
7+49.5,21,10.8000002,1031.231812,1031.306763
7+49.5,21,11.3999996,1031.215698,1031.321045
7+49.5,21,12,1031.317017,1031.339722
7+49.5,21,12.6000004,1031.350586,1031.399902
7+49.5,21,13.1999998,1031.379028,1031.460938
7+49.5,21,13.8000002,1031.43689,1031.615112
7+49.5,21,14.3999996,1031.479614,1031.682129
7+49.5,21,15,1031.535767,1031.611939
7+49.5,21,15.6000004,1031.392578,1031.410523
7+49.5,21,16.2000008,1031.119385,1031.147217
7+49.5,21,16.7999992,1030.78479,1030.800659
7+49.5,21,17.3999996,1030.592773,1030.557495
7+49.5,21,18,1030.204102,1030.32605
7+49.5,21,18.6000004,1030.054199,1030.221436
7+49.5,21,19.2000008,1029.957031,1030.130737
7+49.5,21,19.7999992,1029.837647,1030.101074
7+49.5,21,20.3999996,1029.74231,1030.008423
7+49.5,21,21,1029.688599,1029.902222
7+49.5,21,21.6000004,1029.630737,1029.895752
7+49.5,21,22.2000008,1029.765015,1029.91272
7+49.5,21,22.7999992,1029.881714,1029.928223
7+49.5,21,23.3999996,1030.204346,1029.987427
7+49.5,21,24,1030.118408,1030.294312
7+49.5,21,24.6000004,1030.335205,1030.625732
7+49.5,21,25.2000008,1030.608276,1030.708862
7+49.5,21,25.7999992,1030.969116,1031.019775
7+49.5,21,26.3999996,1031.365356,1031.366455
7+49.5,21,27,1031.448242,1031.709229
7+49.5,21,27.6000004,1031.506958,1031.709229
7+49.5,21,28.2000008,1031.584473,1031.716675
7+49.5,21,28.7999992,1031.610718,1031.671143
7+49.5,21,29.3999996,1031.601318,1031.671753
7+49.5,21,30,1031.609863,1031.666138
7+49.5,21,30.6000004,1031.647583,1031.673706
7+49.5,21,31.2000008,1031.634033,1031.686401
7+49.5,21,31.7999992,1031.597168,1031.69165
7+49.5,21,32.4000015,1031.59436,1031.66333
7+49.5,21,33,1031.464356,1031.60144
7+49.5,21,33.5999985,1031.288086,1031.480591
7+49.5,21,34.2000008,1031.157227,1031.321533
7+49.5,21,34.7999992,1031.170776,1031.242676
7+49.5,21,35.4000015,1031.345215,1031.257813
7+49.5,21,36,1031.510254,1031.37439
7+49.5,21,36.5999985,1031.615723,1031.566528
7+49.5,21,37.2000008,1031.615723,1031.691528
7+49.5,21,37.7999992,1031.753174,1031.796631
7+49.5,21,38.4000015,1031.934448,1031.855347
7+49.5,21,39,1031.920532,1031.893066
7+49.5,21,39.5999985,1031.904053,1031.943237
7+49.5,21,40.2000008,1031.875732,1031.937988
7+49.5,21,40.7999992,1031.872192,1031.950684
7+49.5,21,41.4000015,1031.893799,1031.957764
7+49.5,21,42,1031.889648,1031.996704
7+49.5,21,42.5999985,1031.95166,1032.104248
7+49.5,21,43.2000008,1032.001587,1032.104248
